Energy Type,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GE,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,US-CAR-DUK
Battery discharge,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
Biomass,1187.127343,820.0,1170.245378,1085.727771,820.0,1135.5,1061.994964,1167.165561,914.324608,1059.95,1235.586989,848.9178430000001,968.904913,820.0,1179.944663,1224.373799,1111.08478,1103.940256,1135.5,1135.5,1135.5,820.0,820.0,820.0,817.319095,883.79433,1201.095409,1118.213761,1176.0432019999998,820.0,1171.867209,1041.927754,1310.210498,863.063492
Coal,527.8399999999999,490.0,508.02,532.38,490.0,532.38,532.38,571.55,456.97,532.38,546.61,415.99,501.61,490.0,532.38,579.76,532.38,548.62,484.92,532.38,532.38,490.0,490.0,490.0,521.0899999999999,490.0,555.63,491.49,688.48,490.0,466.62,532.38,467.58,519.14
Gas,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Geothermal,10.7,10.7,10.7,10.7,24.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,24.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7,24.0,10.7,10.7,10.7,24.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7,24.0
Hydro,5.13,5.13,5.13,5.13,12.0,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,12.0,5.13,5.13,5.13,5.13,5.13,5.13,5.13,12.0,5.13,5.13,5.13,12.0,5.13,5.13,5.13,5.13,5.13,5.13,5.13,12.0
Hydro Discharge,1169.95,650.0,1169.95,1169.95,650.0,953.61,1169.95,1169.95,1437.42,1169.95,1169.95,1169.95,999.44,650.0,1169.95,1081.58,1228.56,1102.74,1169.95,1169.95,1169.95,650.0,650.0,650.0,1169.95,650.0,1169.95,1169.95,1169.95,650.0,1169.95,1169.95,1169.95,650.0
Nuclear,31.0,28.8,36.0,27.73333333,29.5,25.6,34.33333333,35.11666667,35.98888889,36.5,26.46666667,45.0,30.075,45.0,29.03333333,30.66666667,42.13333333,26.26527778,36.7,45.0,36.9,30.25,45.0,45.0,36.5,45.0,34.84,25.6,29.78,29.7,40.81666667,30.83333333,33.0,26.53333333
Oil,12.62,11.0,12.62,12.62,11.0,12.62,12.62,12.62,12.62,12.62,12.62,12.62,12.62,11.0,12.62,12.62,12.62,12.62,12.62,12.62,12.62,11.0,11.0,11.0,12.62,11.0,12.62,12.62,12.62,11.0,12.62,12.62,12.62,11.0
Solar,700.0,700.0,700.0,700.0,165.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,240.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,342.0,700.0,700.0,700.0,700.0,700.0,258.0,700.0,700.0,700.0
Unknown,237.14249712142384,525.6400113137106,166.74150748371184,477.077797092785,68.12991472725895,968.260580852334,535.9666012313977,419.4076679907016,210.45278732540467,422.26741078429336,140.2415453661764,204.5547505697485,66.82067058776849,166.26279322149986,273.7459426933044,311.972963238646,447.0086569777786,390.4279679862484,321.9285825024693,340.6233514568114,333.7276629065241,532.8755839124373,400.03933900187366,477.10041160023616,453.273091885823,32.51061695202239,858.6446077025212,155.11322488094646,508.2483074889746,537.200044744147,42.07081808517848,322.65581220124767,349.7739207801914,307.9074187530485
Wind,237.14249712142384,525.6400113137106,166.74150748371184,477.077797092785,68.12991472725895,968.260580852334,535.9666012313977,419.4076679907016,210.45278732540467,422.26741078429336,140.2415453661764,204.5547505697485,66.82067058776849,166.26279322149986,273.7459426933044,311.972963238646,447.0086569777786,390.4279679862484,321.9285825024693,340.6233514568114,333.7276629065241,532.8755839124373,400.03933900187366,477.10041160023616,453.273091885823,32.51061695202239,858.6446077025212,155.11322488094646,508.2483074889746,537.200044744147,42.07081808517848,322.65581220124767,349.7739207801914,307.9074187530485
