region,battery discharge,biomass,coal,gas,geothermal,hydro,hydro discharge,nuclear,oil,solar,unknown,wind
AT,230.0,1187.127343,527.8399999999999,38,10.7,5.13,1169.95,31.0,12.62,700,237.14249712142382,237.14249712142382
BA,230.0,820.0,490.0,38,10.7,5.13,650.0,28.8,11.0,700,525.6400113137106,525.6400113137106
BE,230.0,1170.245378,508.02,38,10.7,5.13,1169.95,36.0,12.62,700,166.74150748371184,166.74150748371184
BG,230.0,1085.727771,532.38,38,10.7,5.13,1169.95,27.73333333,12.62,700,477.07779709278503,477.07779709278503
CH,230.0,820.0,490.0,38,24.0,12.0,650.0,29.5,11.0,165,68.12991472725895,68.12991472725895
CY,230.0,1135.5,532.38,38,10.7,5.13,953.61,25.6,12.62,700,968.2605808523339,968.2605808523339
CZ,230.0,1061.994964,532.38,38,10.7,5.13,1169.95,34.33333333,12.62,700,535.9666012313977,535.9666012313977
DE,230.0,1167.165561,571.55,38,10.7,5.13,1169.95,35.11666667,12.62,700,419.4076679907016,419.4076679907016
DK,230.0,914.324608,456.97,38,10.7,5.13,1437.42,35.98888889,12.62,700,210.45278732540467,210.45278732540467
EE,230.0,1059.95,532.38,38,10.7,5.13,1169.95,36.5,12.62,700,422.26741078429336,422.26741078429336
ES,230.0,1235.586989,546.61,38,10.7,5.13,1169.95,26.46666667,12.62,700,140.2415453661764,140.2415453661764
FI,230.0,848.9178430000001,415.99,38,10.7,5.13,1169.95,45.0,12.62,700,204.55475056974853,204.55475056974853
FR,230.0,968.9049130000001,501.61,38,10.7,5.13,999.44,30.075,12.62,700,66.82067058776849,66.82067058776849
GE,230.0,820.0,490.0,38,24.0,12.0,650.0,45.0,11.0,700,166.26279322149986,166.26279322149986
HR,230.0,1179.944663,532.38,38,10.7,5.13,1169.95,29.03333333,12.62,240,273.7459426933044,273.7459426933044
HU,230.0,1224.373799,579.76,38,10.7,5.13,1081.58,30.66666667,12.62,700,311.972963238646,311.972963238646
IE,230.0,1111.08478,532.38,38,10.7,5.13,1228.56,42.13333333,12.62,700,447.0086569777786,447.0086569777786
IT,230.0,1103.940256,548.62,38,10.7,5.13,1102.74,26.26527778,12.62,700,390.4279679862484,390.4279679862484
LT,230.0,1135.5,484.92,38,10.7,5.13,1169.95,36.7,12.62,700,321.9285825024693,321.9285825024693
LU,230.0,1135.5,532.38,38,10.7,5.13,1169.95,45.0,12.62,700,340.6233514568114,340.6233514568114
LV,230.0,1135.5,532.38,38,10.7,5.13,1169.95,36.9,12.62,700,333.7276629065241,333.7276629065241
MD,230.0,820.0,490.0,38,24.0,12.0,650.0,30.25,11.0,700,532.8755839124373,532.8755839124373
ME,230.0,820.0,490.0,38,10.7,5.13,650.0,45.0,11.0,700,400.03933900187366,400.03933900187366
MK,230.0,820.0,490.0,38,10.7,5.13,650.0,45.0,11.0,700,477.10041160023616,477.10041160023616
NL,230.0,817.319095,521.0899999999999,38,10.7,5.13,1169.95,36.5,12.62,342,453.273091885823,453.273091885823
NO,230.0,883.79433,490.0,38,24.0,12.0,650.0,45.0,11.0,700,32.51061695202239,32.51061695202239
PL,230.0,1201.095409,555.63,38,10.7,5.13,1169.95,34.84,12.62,700,858.6446077025212,858.6446077025212
PT,230.0,1118.213761,491.49,38,10.7,5.13,1169.95,25.6,12.62,700,155.11322488094646,155.11322488094646
RO,230.0,1176.0432019999998,688.48,38,10.7,5.13,1169.95,29.78,12.62,700,508.2483074889746,508.2483074889746
RS,230.0,820.0,490.0,38,10.7,5.13,650.0,29.7,11.0,700,537.200044744147,537.200044744147
SE,230.0,1171.867209,466.62,38,10.7,5.13,1169.95,40.81666667,12.62,258,42.07081808517848,42.07081808517848
SI,230.0,1041.927754,532.38,38,10.7,5.13,1169.95,30.83333333,12.62,700,322.65581220124767,322.65581220124767
SK,230.0,1310.210498,467.58,38,10.7,5.13,1169.95,33.0,12.62,700,349.7739207801914,349.7739207801914
US-CAR-DUK,230.0,863.063492,519.14,38,24.0,12.0,650.0,26.53333333,11.0,700,307.9074187530485,307.9074187530485
