Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
295.0,0.0,1894.0,0.0,0.0,39.0,0.0,761.0,0.0,4991.0,228.0,233.0
294.0,0.0,1787.0,0.0,0.0,38.0,0.0,749.0,0.0,4988.0,231.0,243.0
296.0,0.0,1676.0,0.0,0.0,38.0,0.0,687.0,0.0,4990.0,231.0,242.0
297.0,0.0,1527.0,0.0,0.0,38.0,0.0,676.0,0.0,4990.0,230.0,272.0
296.0,0.0,1439.0,0.0,0.0,38.0,0.0,684.0,0.0,4990.0,232.0,283.0
290.0,0.0,1449.0,0.0,0.0,38.0,0.0,677.0,0.0,4990.0,232.0,327.0
289.0,0.0,1459.0,0.0,0.0,38.0,0.0,690.0,0.0,4992.0,231.0,359.0
285.0,0.0,1472.0,0.0,0.0,38.0,0.0,718.0,0.0,4993.0,227.0,312.0
288.0,0.0,1459.0,0.0,0.0,38.0,0.0,781.0,2.0,4991.0,228.0,282.0
284.0,0.0,1568.0,0.0,0.0,38.0,0.0,797.0,105.0,4990.0,228.0,315.0
282.0,0.0,1564.0,0.0,0.0,38.0,0.0,773.0,306.0,4989.0,228.0,340.0
276.0,0.0,1596.0,0.0,0.0,38.0,0.0,767.0,635.0,4989.0,229.0,413.0
277.0,0.0,1499.0,0.0,0.0,38.0,0.0,761.0,921.0,4988.0,242.0,420.0
278.0,0.0,1453.0,0.0,0.0,38.0,0.0,745.0,883.0,4986.0,256.0,436.0
282.0,0.0,1554.0,0.0,0.0,38.0,0.0,732.0,559.0,4986.0,258.0,444.0
286.0,0.0,1609.0,0.0,0.0,79.0,0.0,745.0,248.0,4987.0,268.0,503.0
285.0,0.0,1802.0,0.0,0.0,56.0,0.0,800.0,42.0,4987.0,273.0,481.0
286.0,0.0,2086.0,0.0,0.0,520.0,0.0,792.0,0.0,4988.0,271.0,481.0
288.0,0.0,2116.0,0.0,0.0,551.0,0.0,777.0,0.0,4989.0,273.0,402.0
