MTU,Area,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
2021-01-01 00:00:00,,181.0,,,1764.25,0.0,0.0,,,0.0,177.25,0.0,1783.0,242.0,,,22.0,0.0,0.0,100.0,,146.0
2021-01-01 01:00:00,,180.0,,,1665.75,0.0,0.0,,,0.0,100.5,0.0,1726.75,192.25,,,22.0,0.0,0.0,100.0,,117.0
2021-01-01 02:00:00,,180.0,,,1638.5,0.0,0.0,,,0.0,86.0,0.0,1685.0,124.0,,,22.0,0.0,0.0,100.0,,73.0
2021-01-01 03:00:00,,180.0,,,1498.5,0.0,0.0,,,0.0,17.0,0.0,1700.5,100.0,,,22.0,0.0,0.0,100.0,,82.0
2021-01-01 04:00:00,,180.0,,,1453.25,0.0,0.0,,,0.0,0.0,287.0,1709.0,88.0,,,22.0,0.0,0.0,100.0,,75.0
2021-01-01 05:00:00,,180.0,,,1544.5,0.0,0.0,,,0.0,0.0,271.75,1675.75,111.0,,,22.0,0.0,0.0,100.0,,65.0
2021-01-01 06:00:00,,180.0,,,1605.0,0.0,0.0,,,0.0,0.0,385.75,1681.25,157.0,,,22.0,0.0,0.0,100.0,,50.0
2021-01-01 07:00:00,,180.0,,,1773.0,0.0,0.0,,,0.0,1.25,30.75,1748.0,151.5,,,22.0,0.0,1.0,100.0,,31.0
2021-01-01 08:00:00,,180.0,,,1852.5,0.0,0.0,,,0.0,126.0,0.0,1816.75,118.75,,,22.0,0.0,6.0,100.0,,27.0
2021-01-01 09:00:00,,180.0,,,1922.75,0.0,0.0,,,0.0,182.0,0.0,1790.0,168.75,,,22.0,0.0,34.0,100.0,,17.0
2021-01-01 10:00:00,,180.0,,,1938.0,0.0,0.0,,,0.0,170.75,0.0,1843.75,169.75,,,22.0,0.0,82.0,100.0,,13.0
2021-01-01 11:00:00,,180.0,,,1968.75,0.0,0.0,,,0.0,222.0,0.0,1857.25,185.5,,,22.0,0.0,120.0,100.0,,23.0
2021-01-01 12:00:00,,181.0,,,2026.25,0.0,0.0,,,0.0,178.0,0.0,1932.0,166.25,,,22.0,0.0,135.0,100.0,,5.0
2021-01-01 13:00:00,,184.0,,,1968.0,0.0,0.0,,,0.0,167.0,0.0,1967.25,137.0,,,22.0,0.0,125.0,100.0,,25.0
2021-01-01 14:00:00,,184.0,,,1936.25,0.0,0.0,,,0.0,134.0,0.0,1961.5,129.25,,,22.0,0.0,88.0,100.0,,36.0
2021-01-01 15:00:00,,184.0,,,1942.25,0.0,0.0,,,0.0,151.5,0.0,1962.75,151.75,,,22.0,0.0,36.0,100.0,,63.0
2021-01-01 16:00:00,,184.0,,,1970.5,0.0,0.0,,,0.0,288.5,0.0,2032.0,236.25,,,22.0,0.0,6.0,100.0,,48.0
2021-01-01 17:00:00,,184.0,,,1925.5,0.0,0.0,,,0.0,1158.25,0.0,2235.5,372.75,,,22.0,0.0,0.0,100.0,,50.0
2021-01-01 18:00:00,,184.0,,,1934.75,0.0,0.0,,,0.0,1218.25,0.0,2278.75,410.75,,,22.0,0.0,0.0,100.0,,53.0
2021-01-01 19:00:00,,184.0,,,1977.5,0.0,0.0,,,0.0,1116.25,0.0,2268.0,326.25,,,22.0,0.0,0.0,100.0,,65.0
2021-01-01 20:00:00,,184.0,,,2021.5,0.0,0.0,,,0.0,618.25,0.0,2145.5,293.25,,,22.0,0.0,0.0,100.0,,38.0
2021-01-01 21:00:00,,184.0,,,2062.5,0.0,0.0,,,0.0,166.25,0.0,2107.25,179.5,,,22.0,0.0,0.0,100.0,,24.0
2021-01-01 22:00:00,,184.0,,,2071.75,0.0,0.0,,,0.0,71.5,0.0,1958.25,76.0,,,22.0,0.0,0.0,100.0,,9.0
2021-01-01 23:00:00,,184.0,,,2106.25,0.0,0.0,,,0.0,81.75,0.0,1801.75,78.25,,,22.0,0.0,0.0,100.0,,7.0
2021-01-02 00:00:00,,180.0,,,2074.25,0.0,0.0,,,0.0,98.25,0.0,1692.5,83.25,,,22.0,0.0,0.0,100.0,,19.0
2021-01-02 01:00:00,,180.0,,,1909.0,0.0,0.0,,,0.0,78.25,0.0,1652.25,90.5,,,22.0,0.0,0.0,100.0,,63.0
2021-01-02 02:00:00,,180.0,,,1904.0,0.0,0.0,,,0.0,0.0,553.75,1647.0,45.0,,,22.0,0.0,0.0,100.0,,100.0
2021-01-02 03:00:00,,180.0,,,1811.0,0.0,0.0,,,0.0,0.0,1255.25,1617.75,47.75,,,22.0,0.0,0.0,100.0,,199.0
2021-01-02 04:00:00,,180.0,,,1723.75,0.0,0.0,,,0.0,0.0,1447.0,1600.75,37.25,,,22.0,0.0,0.0,100.0,,410.0
2021-01-02 05:00:00,,180.0,,,1841.0,0.0,0.0,,,0.0,0.0,1378.75,1581.5,33.75,,,22.0,0.0,0.0,100.0,,526.0
2021-01-02 06:00:00,,180.0,,,1832.0,0.0,0.0,,,0.0,0.0,151.75,1588.0,74.75,,,22.0,0.0,0.0,100.0,,685.0
2021-01-02 07:00:00,,180.0,,,1976.75,0.0,0.0,,,0.0,107.5,0.0,1687.5,107.25,,,22.0,0.0,0.0,100.0,,646.0
2021-01-02 08:00:00,,180.0,,,2000.25,0.0,0.0,,,0.0,147.75,0.0,1788.0,209.25,,,22.0,0.0,10.0,100.0,,651.0
2021-01-02 09:00:00,,180.0,,,2009.75,0.0,0.0,,,0.0,169.5,0.0,1832.25,186.5,,,22.0,0.0,42.0,100.0,,733.0
2021-01-02 10:00:00,,180.0,,,2038.75,0.0,0.0,,,0.0,233.75,0.0,1834.0,191.25,,,22.0,0.0,84.0,100.0,,719.0
2021-01-02 11:00:00,,180.0,,,2049.75,0.0,0.0,,,0.0,256.75,0.0,1885.75,211.0,,,22.0,0.0,112.0,100.0,,813.0
2021-01-02 12:00:00,,181.0,,,2031.25,0.0,0.0,,,0.0,293.25,0.0,1946.0,234.0,,,22.0,0.0,125.0,100.0,,727.0
2021-01-02 13:00:00,,184.0,,,2013.5,0.0,0.0,,,0.0,277.0,0.0,1933.0,302.75,,,22.0,0.0,113.0,100.0,,670.0
2021-01-02 14:00:00,,184.0,,,2022.25,0.0,0.0,,,0.0,232.25,0.0,1916.75,213.25,,,22.0,0.0,81.0,100.0,,746.0
2021-01-02 15:00:00,,184.0,,,2011.5,0.0,0.0,,,0.0,181.0,0.0,1996.0,227.75,,,22.0,0.0,34.0,100.0,,885.0
2021-01-02 16:00:00,,184.0,,,2034.75,0.0,0.0,,,0.0,432.0,0.0,2058.0,387.25,,,22.0,0.0,6.0,100.0,,1089.0
2021-01-02 17:00:00,,184.0,,,1997.5,0.0,0.0,,,0.0,1268.5,0.0,2067.0,456.0,,,22.0,0.0,0.0,100.0,,1293.0
2021-01-02 18:00:00,,184.0,,,1993.0,0.0,0.0,,,0.0,1373.5,0.0,2053.25,527.5,,,22.0,0.0,0.0,100.0,,1368.0
2021-01-02 19:00:00,,184.0,,,2003.5,0.0,0.0,,,0.0,1303.0,0.0,2054.0,476.0,,,22.0,0.0,0.0,100.0,,1211.0
2021-01-02 20:00:00,,184.0,,,2028.5,0.0,0.0,,,0.0,318.25,0.0,1993.0,337.75,,,22.0,0.0,0.0,100.0,,1019.0
2021-01-02 21:00:00,,184.0,,,2014.5,0.0,0.0,,,0.0,124.0,0.0,1806.0,316.75,,,22.0,0.0,0.0,100.0,,985.0
2021-01-02 22:00:00,,184.0,,,2023.5,0.0,0.0,,,0.0,164.25,0.0,1701.25,277.5,,,22.0,0.0,0.0,100.0,,1191.0
2021-01-02 23:00:00,,184.0,,,1960.75,0.0,0.0,,,0.0,88.0,0.0,1575.5,123.75,,,22.0,0.0,0.0,100.0,,1490.0
2021-01-03 00:00:00,,180.0,,,1747.5,0.0,0.0,,,0.0,566.25,0.0,1479.0,212.5,,,22.0,0.0,0.0,100.0,,1764.0
2021-01-03 01:00:00,,180.0,,,1399.5,0.0,0.0,,,0.0,340.75,0.0,1459.25,150.0,,,22.0,0.0,0.0,100.0,,1765.0
2021-01-03 02:00:00,,180.0,,,1247.5,0.0,0.0,,,0.0,0.0,360.5,1457.0,85.75,,,22.0,0.0,0.0,100.0,,1617.0
2021-01-03 03:00:00,,180.0,,,1252.75,0.0,0.0,,,0.0,0.0,1274.25,1464.25,65.5,,,22.0,0.0,0.0,100.0,,1395.0
2021-01-03 04:00:00,,180.0,,,1236.75,0.0,0.0,,,0.0,0.0,1327.0,1469.25,60.25,,,22.0,0.0,0.0,100.0,,1193.0
2021-01-03 05:00:00,,180.0,,,1590.5,0.0,0.0,,,0.0,0.0,1034.75,1481.0,34.0,,,22.0,0.0,0.0,100.0,,1131.0
2021-01-03 06:00:00,,180.0,,,1572.5,0.0,0.0,,,0.0,0.0,769.25,1473.25,50.75,,,22.0,0.0,0.0,100.0,,1247.0
2021-01-03 07:00:00,,180.0,,,1558.75,0.0,0.0,,,0.0,0.0,943.75,1520.0,32.5,,,22.0,0.0,0.0,100.0,,1321.0
2021-01-03 08:00:00,,180.0,,,1832.75,0.0,0.0,,,0.0,0.0,594.25,1518.75,71.75,,,22.0,0.0,3.0,100.0,,1298.0
2021-01-03 09:00:00,,180.0,,,2050.0,0.0,0.0,,,0.0,0.0,294.0,1644.25,142.0,,,22.0,0.0,20.0,100.0,,1210.0
2021-01-03 10:00:00,,180.0,,,2287.0,0.0,0.0,,,0.0,0.0,79.25,1759.75,131.25,,,22.0,0.0,48.0,100.0,,1081.0
2021-01-03 11:00:00,,180.0,,,2332.25,0.0,0.0,,,0.0,0.0,10.75,1819.5,287.25,,,22.0,0.0,80.0,100.0,,1111.0
2021-01-03 12:00:00,,181.0,,,2332.25,0.0,0.0,,,0.0,0.0,5.0,1815.75,204.25,,,22.0,0.0,98.0,100.0,,1055.0
2021-01-03 13:00:00,,184.0,,,1923.5,0.0,0.0,,,0.0,0.0,9.0,1800.75,126.75,,,22.0,0.0,90.0,100.0,,1115.0
2021-01-03 14:00:00,,184.0,,,1857.5,0.0,0.0,,,0.0,0.0,259.75,1790.0,110.0,,,22.0,0.0,62.0,100.0,,970.0
2021-01-03 15:00:00,,184.0,,,1806.75,0.0,0.0,,,0.0,0.0,241.75,1846.75,154.0,,,22.0,0.0,25.0,100.0,,897.0
2021-01-03 16:00:00,,184.0,,,1920.0,0.0,0.0,,,0.0,0.0,398.25,1936.0,194.0,,,22.0,0.0,5.0,100.0,,898.0
2021-01-03 17:00:00,,184.0,,,1952.0,0.0,0.0,,,0.0,168.0,0.0,1989.0,482.75,,,22.0,0.0,0.0,100.0,,708.0
2021-01-03 18:00:00,,184.0,,,2003.25,0.0,0.0,,,0.0,187.25,0.0,2114.25,368.25,,,22.0,0.0,0.0,100.0,,472.0
2021-01-03 19:00:00,,184.0,,,2013.0,0.0,0.0,,,0.0,180.75,0.0,2136.5,303.5,,,22.0,0.0,0.0,100.0,,288.0
