"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK1","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","203","n/e","n/e","170","190","8","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","89","597","1226"
"BZN|DK1","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","199","n/e","n/e","163","185","7","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","90","662","1188"
"BZN|DK1","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","115","n/e","n/e","184","212","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","93","508","1102"
"BZN|DK1","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","101","n/e","n/e","186","191","11","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","91","490","1116"
"BZN|DK1","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","102","n/e","n/e","181","195","12","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","92","589","1023"
"BZN|DK1","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","102","n/e","n/e","155","183","14","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","93","581","1037"
"BZN|DK1","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","104","n/e","n/e","161","159","11","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","91","609","1100"
"BZN|DK1","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","106","n/e","n/e","174","181","16","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","92","601","1059"
"BZN|DK1","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","119","n/e","n/e","182","151","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","89","651","1125"
"BZN|DK1","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","154","n/e","n/e","193","171","7","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","7","77","719","1225"
