"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|EE","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","70","n/e","62","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","138"
"BZN|EE","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","68","n/e","64","2","n/e","n/e","88","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","142"
"BZN|EE","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","69","n/e","63","2","n/e","n/e","87","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","153"
"BZN|EE","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","66","n/e","62","2","n/e","n/e","88","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","134"
"BZN|EE","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","68","n/e","61","2","n/e","n/e","85","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","110"
"BZN|EE","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","68","n/e","59","2","n/e","n/e","93","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","122"
"BZN|EE","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","68","n/e","61","2","n/e","n/e","93","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","149"
"BZN|EE","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","67","n/e","61","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","150"
"BZN|EE","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","67","n/e","61","2","n/e","n/e","96","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","16","n/e","130"
"BZN|EE","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","66","n/e","62","2","n/e","n/e","96","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","4","16","n/e","146"
"BZN|EE","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","66","n/e","63","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","8","16","n/e","124"
"BZN|EE","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","66","n/e","61","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","7","16","n/e","129"
"BZN|EE","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","66","n/e","61","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","4","17","n/e","155"
"BZN|EE","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","65","n/e","64","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","2","17","n/e","181"
"BZN|EE","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","65","n/e","64","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","188"
"BZN|EE","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","69","n/e","64","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","194"
"BZN|EE","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","70","n/e","64","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","173"
"BZN|EE","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","70","n/e","65","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","164"
"BZN|EE","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","70","n/e","64","2","n/e","n/e","97","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","150"
"BZN|EE","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","70","n/e","65","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","160"
"BZN|EE","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","67","n/e","64","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","149"
"BZN|EE","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","66","n/e","64","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","150"
"BZN|EE","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","67","n/e","64","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","156"
"BZN|EE","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","67","n/e","64","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","161"
"BZN|EE","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","67","n/e","65","2","n/e","n/e","104","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","168"
"BZN|EE","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","66","n/e","64","2","n/e","n/e","105","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","186"
"BZN|EE","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","66","n/e","64","2","n/e","n/e","106","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","189"
"BZN|EE","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","63","n/e","64","2","n/e","n/e","101","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","177"
"BZN|EE","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","65","n/e","65","2","n/e","n/e","94","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","154"
"BZN|EE","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","64","n/e","64","2","n/e","n/e","99","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","167"
"BZN|EE","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","63","n/e","65","2","n/e","n/e","106","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","152"
"BZN|EE","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","63","n/e","64","2","n/e","n/e","108","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","138"
"BZN|EE","02.01.2020 08:00 - 02.01.2020 09:00 (CET/CEST)","64","n/e","62","2","n/e","n/e","108","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","17","n/e","141"
"BZN|EE","02.01.2020 09:00 - 02.01.2020 10:00 (CET/CEST)","63","n/e","61","2","n/e","n/e","113","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","2","17","n/e","142"
"BZN|EE","02.01.2020 10:00 - 02.01.2020 11:00 (CET/CEST)","59","n/e","62","2","n/e","n/e","113","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","3","16","n/e","151"
"BZN|EE","02.01.2020 11:00 - 02.01.2020 12:00 (CET/CEST)","57","n/e","63","2","n/e","n/e","114","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","2","17","n/e","151"
"BZN|EE","02.01.2020 12:00 - 02.01.2020 13:00 (CET/CEST)","58","n/e","62","2","n/e","n/e","115","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","2","17","n/e","154"
"BZN|EE","02.01.2020 13:00 - 02.01.2020 14:00 (CET/CEST)","58","n/e","63","2","n/e","n/e","115","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","17","n/e","168"
"BZN|EE","02.01.2020 14:00 - 02.01.2020 15:00 (CET/CEST)","59","n/e","64","2","n/e","n/e","114","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","169"
"BZN|EE","02.01.2020 15:00 - 02.01.2020 16:00 (CET/CEST)","62","n/e","63","2","n/e","n/e","115","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","177"
"BZN|EE","02.01.2020 16:00 - 02.01.2020 17:00 (CET/CEST)","63","n/e","63","2","n/e","n/e","111","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","194"
"BZN|EE","02.01.2020 17:00 - 02.01.2020 18:00 (CET/CEST)","63","n/e","63","2","n/e","n/e","110","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","184"
"BZN|EE","02.01.2020 18:00 - 02.01.2020 19:00 (CET/CEST)","63","n/e","65","2","n/e","n/e","111","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","171"
"BZN|EE","02.01.2020 19:00 - 02.01.2020 20:00 (CET/CEST)","62","n/e","64","2","n/e","n/e","113","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","168"
"BZN|EE","02.01.2020 20:00 - 02.01.2020 21:00 (CET/CEST)","60","n/e","64","2","n/e","n/e","111","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","169"
"BZN|EE","02.01.2020 21:00 - 02.01.2020 22:00 (CET/CEST)","59","n/e","64","2","n/e","n/e","111","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","13","n/e","193"
"BZN|EE","02.01.2020 22:00 - 02.01.2020 23:00 (CET/CEST)","61","n/e","63","2","n/e","n/e","112","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","13","n/e","189"
"BZN|EE","02.01.2020 23:00 - 03.01.2020 00:00 (CET/CEST)","61","n/e","65","2","n/e","n/e","112","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","11","n/e","197"
"BZN|EE","03.01.2020 00:00 - 03.01.2020 01:00 (CET/CEST)","61","n/e","64","2","n/e","n/e","118","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","11","n/e","208"
"BZN|EE","03.01.2020 01:00 - 03.01.2020 02:00 (CET/CEST)","59","n/e","64","2","n/e","n/e","124","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","10","n/e","216"
"BZN|EE","03.01.2020 02:00 - 03.01.2020 03:00 (CET/CEST)","59","n/e","49","2","n/e","n/e","132","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","9","n/e","209"
"BZN|EE","03.01.2020 03:00 - 03.01.2020 04:00 (CET/CEST)","56","n/e","35","2","n/e","n/e","112","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","10","n/e","211"
"BZN|EE","03.01.2020 04:00 - 03.01.2020 05:00 (CET/CEST)","59","n/e","39","2","n/e","n/e","104","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","11","n/e","226"
"BZN|EE","03.01.2020 05:00 - 03.01.2020 06:00 (CET/CEST)","58","n/e","38","2","n/e","n/e","100","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","12","n/e","229"
"BZN|EE","03.01.2020 06:00 - 03.01.2020 07:00 (CET/CEST)","58","n/e","37","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","14","n/e","235"
"BZN|EE","03.01.2020 07:00 - 03.01.2020 08:00 (CET/CEST)","60","n/e","38","2","n/e","n/e","104","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","235"
"BZN|EE","03.01.2020 08:00 - 03.01.2020 09:00 (CET/CEST)","59","n/e","39","2","n/e","n/e","102","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","246"
"BZN|EE","03.01.2020 09:00 - 03.01.2020 10:00 (CET/CEST)","58","n/e","37","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","16","n/e","262"
"BZN|EE","03.01.2020 10:00 - 03.01.2020 11:00 (CET/CEST)","59","n/e","38","2","n/e","n/e","101","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","17","n/e","268"
"BZN|EE","03.01.2020 11:00 - 03.01.2020 12:00 (CET/CEST)","59","n/e","36","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","16","n/e","257"
"BZN|EE","03.01.2020 12:00 - 03.01.2020 13:00 (CET/CEST)","59","n/e","33","2","n/e","n/e","100","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","16","n/e","257"
"BZN|EE","03.01.2020 13:00 - 03.01.2020 14:00 (CET/CEST)","59","n/e","32","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","266"
"BZN|EE","03.01.2020 14:00 - 03.01.2020 15:00 (CET/CEST)","60","n/e","33","2","n/e","n/e","102","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","271"
"BZN|EE","03.01.2020 15:00 - 03.01.2020 16:00 (CET/CEST)","63","n/e","33","2","n/e","n/e","102","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","265"
"BZN|EE","03.01.2020 16:00 - 03.01.2020 17:00 (CET/CEST)","63","n/e","31","2","n/e","n/e","103","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","259"
"BZN|EE","03.01.2020 17:00 - 03.01.2020 18:00 (CET/CEST)","64","n/e","32","2","n/e","n/e","106","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","252"
"BZN|EE","03.01.2020 18:00 - 03.01.2020 19:00 (CET/CEST)","63","n/e","34","2","n/e","n/e","102","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","246"
"BZN|EE","03.01.2020 19:00 - 03.01.2020 20:00 (CET/CEST)","63","n/e","33","2","n/e","n/e","102","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","251"
"BZN|EE","03.01.2020 20:00 - 03.01.2020 21:00 (CET/CEST)","61","n/e","33","2","n/e","n/e","100","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","232"
"BZN|EE","03.01.2020 21:00 - 03.01.2020 22:00 (CET/CEST)","60","n/e","33","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","15","n/e","213"
"BZN|EE","03.01.2020 22:00 - 03.01.2020 23:00 (CET/CEST)","62","n/e","48","2","n/e","n/e","98","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","14","n/e","189"
