"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IE(SEM)","01.01.2022 00:00 - 01.01.2022 00:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","25","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3415"
"BZN|IE(SEM)","01.01.2022 00:30 - 01.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","20","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3208"
"BZN|IE(SEM)","01.01.2022 01:00 - 01.01.2022 01:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","16","0","154","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3042"
"BZN|IE(SEM)","01.01.2022 01:30 - 01.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","16","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3057"
"BZN|IE(SEM)","01.01.2022 02:00 - 01.01.2022 02:30 (CET/CEST)","n/e","n/e","n/e","453","277","0","n/e","50","n/e","0","150","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3137"
"BZN|IE(SEM)","01.01.2022 02:30 - 01.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","441","273","0","n/e","50","n/e","0","303","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3171"
"BZN|IE(SEM)","01.01.2022 03:00 - 01.01.2022 03:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","300","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3057"
"BZN|IE(SEM)","01.01.2022 03:30 - 01.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","300","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2923"
"BZN|IE(SEM)","01.01.2022 04:00 - 01.01.2022 04:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","297","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2789"
"BZN|IE(SEM)","01.01.2022 04:30 - 01.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","297","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2653"
"BZN|IE(SEM)","01.01.2022 05:00 - 01.01.2022 05:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","292","159","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2468"
"BZN|IE(SEM)","01.01.2022 05:30 - 01.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","292","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2423"
"BZN|IE(SEM)","01.01.2022 06:00 - 01.01.2022 06:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","290","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2235"
"BZN|IE(SEM)","01.01.2022 06:30 - 01.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","217","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2170"
"BZN|IE(SEM)","01.01.2022 07:00 - 01.01.2022 07:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","215","154","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2082"
"BZN|IE(SEM)","01.01.2022 07:30 - 01.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","0","215","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2059"
"BZN|IE(SEM)","01.01.2022 08:00 - 01.01.2022 08:30 (CET/CEST)","n/e","n/e","n/e","438","273","0","n/e","50","n/e","0","143","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1967"
"BZN|IE(SEM)","01.01.2022 08:30 - 01.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","444","281","0","n/e","50","n/e","14","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1858"
"BZN|IE(SEM)","01.01.2022 09:00 - 01.01.2022 09:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","20","0","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2000"
"BZN|IE(SEM)","01.01.2022 09:30 - 01.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","27","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2128"
"BZN|IE(SEM)","01.01.2022 10:00 - 01.01.2022 10:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","19","0","153","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2217"
"BZN|IE(SEM)","01.01.2022 10:30 - 01.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","30","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2226"
"BZN|IE(SEM)","01.01.2022 11:00 - 01.01.2022 11:30 (CET/CEST)","n/e","n/e","n/e","434","278","0","n/e","50","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2375"
"BZN|IE(SEM)","01.01.2022 11:30 - 01.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","449","276","0","n/e","50","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2423"
"BZN|IE(SEM)","01.01.2022 12:00 - 01.01.2022 12:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","30","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2570"
"BZN|IE(SEM)","01.01.2022 12:30 - 01.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","28","0","158","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2689"
"BZN|IE(SEM)","01.01.2022 13:00 - 01.01.2022 13:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","26","0","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2788"
"BZN|IE(SEM)","01.01.2022 13:30 - 01.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","50","n/e","28","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2939"
"BZN|IE(SEM)","01.01.2022 14:00 - 01.01.2022 14:30 (CET/CEST)","n/e","n/e","n/e","461","267","0","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3152"
"BZN|IE(SEM)","01.01.2022 14:30 - 01.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","481","256","0","n/e","46","n/e","23","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3211"
"BZN|IE(SEM)","01.01.2022 15:00 - 01.01.2022 15:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","20","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3185"
"BZN|IE(SEM)","01.01.2022 15:30 - 01.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","20","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3163"
"BZN|IE(SEM)","01.01.2022 16:00 - 01.01.2022 16:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","23","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3154"
"BZN|IE(SEM)","01.01.2022 16:30 - 01.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","54","n/e","68","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3182"
"BZN|IE(SEM)","01.01.2022 17:00 - 01.01.2022 17:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","60","n/e","20","0","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3369"
"BZN|IE(SEM)","01.01.2022 17:30 - 01.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","76","n/e","99","0","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3392"
"BZN|IE(SEM)","01.01.2022 18:00 - 01.01.2022 18:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","96","n/e","208","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3307"
"BZN|IE(SEM)","01.01.2022 18:30 - 01.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","100","n/e","173","0","155","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3145"
"BZN|IE(SEM)","01.01.2022 19:00 - 01.01.2022 19:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","101","n/e","190","0","158","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2984"
"BZN|IE(SEM)","01.01.2022 19:30 - 01.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","97","n/e","135","0","154","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","3005"
"BZN|IE(SEM)","01.01.2022 20:00 - 01.01.2022 20:30 (CET/CEST)","n/e","n/e","n/e","561","285","0","n/e","101","n/e","108","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2902"
"BZN|IE(SEM)","01.01.2022 20:30 - 01.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","540","256","0","n/e","99","n/e","181","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2787"
"BZN|IE(SEM)","01.01.2022 21:00 - 01.01.2022 21:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","102","n/e","151","0","160","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2746"
"BZN|IE(SEM)","01.01.2022 21:30 - 01.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","98","n/e","96","0","156","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2680"
"BZN|IE(SEM)","01.01.2022 22:00 - 01.01.2022 22:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","85","n/e","20","0","158","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2614"
"BZN|IE(SEM)","01.01.2022 22:30 - 01.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","48","n/e","28","0","157","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2531"
"BZN|IE(SEM)","01.01.2022 23:00 - 01.01.2022 23:30 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","26","0","158","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2266"
"BZN|IE(SEM)","01.01.2022 23:30 - 02.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","N/A","N/A","N/A","n/e","46","n/e","8","1","151","n/e","n/e","n/e","N/A","n/e","n/e","n/e","n/e","2215"
