"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|LT","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","1","0","25","n/e","n/e","n/e","12","n/e","0","56","n/e","526"
"BZN|LT","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","66","25","n/e","n/e","n/e","12","n/e","0","56","n/e","505"
"BZN|LT","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","25","n/e","n/e","n/e","12","n/e","0","56","n/e","461"
"BZN|LT","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","25","n/e","n/e","n/e","12","n/e","0","56","n/e","444"
"BZN|LT","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","25","n/e","n/e","n/e","12","n/e","0","56","n/e","427"
"BZN|LT","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","33","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","25","n/e","n/e","n/e","11","n/e","0","56","n/e","376"
"BZN|LT","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","68","81","25","n/e","n/e","n/e","10","n/e","0","56","n/e","431"
"BZN|LT","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","119","145","47","n/e","n/e","n/e","10","n/e","0","56","n/e","507"
"BZN|LT","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","120","144","31","n/e","n/e","n/e","11","n/e","6","56","n/e","551"
"BZN|LT","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","26","n/e","n/e","n/e","12","n/e","6","56","n/e","571"
"BZN|LT","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","26","n/e","n/e","n/e","12","n/e","6","56","n/e","572"
"BZN|LT","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","26","n/e","n/e","n/e","11","n/e","6","56","n/e","571"
"BZN|LT","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","11","n/e","6","56","n/e","571"
"BZN|LT","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","11","n/e","6","56","n/e","569"
"BZN|LT","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","88","n/e","n/e","n/e","11","n/e","6","56","n/e","516"
"BZN|LT","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","66","n/e","n/e","n/e","10","n/e","6","56","n/e","547"
"BZN|LT","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","64","n/e","n/e","n/e","10","n/e","6","56","n/e","571"
"BZN|LT","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","90","n/e","n/e","n/e","10","n/e","6","56","n/e","569"
"BZN|LT","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","80","n/e","n/e","n/e","10","n/e","6","56","n/e","570"
"BZN|LT","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","88","n/e","n/e","n/e","10","n/e","6","55","n/e","565"
"BZN|LT","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","51","n/e","n/e","n/e","10","n/e","6","55","n/e","557"
"BZN|LT","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","6","54","n/e","513"
"BZN|LT","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","50","n/e","n/e","n/e","11","n/e","6","50","n/e","407"
"BZN|LT","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","74","n/e","n/e","n/e","10","n/e","6","50","n/e","322"
"BZN|LT","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","6","46","n/e","222"
"BZN|LT","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","57","n/e","n/e","n/e","10","n/e","6","40","n/e","188"
"BZN|LT","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","34","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","6","40","n/e","143"
"BZN|LT","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","6","40","n/e","111"
"BZN|LT","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","6","40","n/e","41"
"BZN|LT","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","9","n/e","6","39","n/e","36"
"BZN|LT","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","1","0","47","n/e","n/e","n/e","10","n/e","6","39","n/e","66"
"BZN|LT","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","171","0","68","n/e","n/e","n/e","10","n/e","6","39","n/e","84"
"BZN|LT","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","172","0","68","n/e","n/e","n/e","10","n/e","6","39","n/e","100"
"BZN|LT","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","34","n/e","n/e","27","n/e","n/e","n/e","n/e","n/e","152","0","88","n/e","n/e","n/e","10","n/e","6","39","n/e","112"
"BZN|LT","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","191","0","92","n/e","n/e","n/e","11","n/e","18","38","n/e","126"
"BZN|LT","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","53","0","92","n/e","n/e","n/e","11","n/e","17","38","n/e","141"
"BZN|LT","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","2","0","88","n/e","n/e","n/e","10","n/e","12","38","n/e","202"
"BZN|LT","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","88","n/e","n/e","n/e","9","n/e","7","38","n/e","267"
"BZN|LT","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","88","n/e","n/e","n/e","9","n/e","2","38","n/e","329"
"BZN|LT","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","181","0","88","n/e","n/e","n/e","9","n/e","0","38","n/e","370"
"BZN|LT","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","190","0","91","n/e","n/e","n/e","9","n/e","0","38","n/e","392"
"BZN|LT","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","181","0","88","n/e","n/e","n/e","10","n/e","0","38","n/e","443"
"BZN|LT","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","119","0","88","n/e","n/e","n/e","10","n/e","0","38","n/e","492"
"BZN|LT","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","34","n/e","n/e","27","n/e","n/e","n/e","n/e","n/e","113","0","88","n/e","n/e","n/e","10","n/e","0","38","n/e","521"
"BZN|LT","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","68","88","n/e","n/e","n/e","9","n/e","0","38","n/e","545"
"BZN|LT","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","86","88","n/e","n/e","n/e","9","n/e","0","38","n/e","535"
"BZN|LT","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","34","n/e","n/e","26","n/e","n/e","n/e","n/e","n/e","0","0","47","n/e","n/e","n/e","10","n/e","0","39","n/e","549"
