"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO4","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1295","n/e","n/e","n/e","39","n/e","n/e","n/e","589"
"BZN|NO4","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","n/e","n/e","130","1328","n/e","n/e","n/e","44","n/e","n/e","n/e","551"
"BZN|NO4","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1221","n/e","n/e","n/e","44","n/e","n/e","n/e","497"
"BZN|NO4","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","1197","n/e","n/e","n/e","40","n/e","n/e","n/e","440"
"BZN|NO4","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","1209","n/e","n/e","n/e","39","n/e","n/e","n/e","419"
"BZN|NO4","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","1296","n/e","n/e","n/e","36","n/e","n/e","n/e","436"
"BZN|NO4","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1264","n/e","n/e","n/e","34","n/e","n/e","n/e","564"
"BZN|NO4","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1280","n/e","n/e","n/e","30","n/e","n/e","n/e","637"
"BZN|NO4","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","1258","n/e","n/e","n/e","33","n/e","n/e","n/e","589"
"BZN|NO4","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","1324","n/e","n/e","n/e","36","n/e","n/e","n/e","577"
"BZN|NO4","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1328","n/e","n/e","n/e","40","n/e","n/e","n/e","524"
"BZN|NO4","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","136","1383","n/e","n/e","n/e","50","n/e","n/e","n/e","527"
"BZN|NO4","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1322","n/e","n/e","n/e","40","n/e","n/e","n/e","563"
"BZN|NO4","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","1380","n/e","n/e","n/e","37","n/e","n/e","n/e","519"
"BZN|NO4","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","1476","n/e","n/e","n/e","38","n/e","n/e","n/e","493"
"BZN|NO4","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","134","2000","n/e","n/e","n/e","39","n/e","n/e","n/e","419"
"BZN|NO4","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","152","3091","n/e","n/e","n/e","38","n/e","n/e","n/e","407"
