"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RO","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","55","864","n/e","1061","118","n/e","n/e","n/e","n/e","n/e","n/e","826","260","n/e","1424","n/e","n/e","0","n/e","n/e","1249"
"BZN|RO","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","55","803","n/e","1059","117","n/e","n/e","n/e","n/e","n/e","n/e","760","213","n/e","1425","n/e","n/e","0","n/e","n/e","1325"
"BZN|RO","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","55","688","n/e","1059","118","n/e","n/e","n/e","n/e","n/e","n/e","732","41","n/e","1425","n/e","n/e","0","n/e","n/e","1449"
"BZN|RO","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","54","674","n/e","1049","118","n/e","n/e","n/e","n/e","n/e","n/e","555","18","n/e","1425","n/e","n/e","0","n/e","n/e","1735"
"BZN|RO","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","55","692","n/e","1047","118","n/e","n/e","n/e","n/e","n/e","n/e","565","41","n/e","1425","n/e","n/e","0","n/e","n/e","1754"
"BZN|RO","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","55","695","n/e","1043","116","n/e","n/e","n/e","n/e","n/e","n/e","607","74","n/e","1426","n/e","n/e","0","n/e","n/e","1806"
"BZN|RO","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","58","687","n/e","1056","118","n/e","n/e","n/e","n/e","n/e","n/e","735","81","n/e","1426","n/e","n/e","0","n/e","n/e","1945"
"BZN|RO","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","59","678","n/e","1060","119","n/e","n/e","n/e","n/e","n/e","n/e","745","79","n/e","1425","n/e","n/e","22","n/e","n/e","2051"
"BZN|RO","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","58","681","n/e","1063","118","n/e","n/e","n/e","n/e","n/e","n/e","724","105","n/e","1425","n/e","n/e","138","n/e","n/e","2083"
"BZN|RO","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","58","694","n/e","1070","117","n/e","n/e","n/e","n/e","n/e","n/e","952","110","n/e","1426","n/e","n/e","263","n/e","n/e","1925"
