"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RS","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","30","1954","n/e","242","n/e","n/e","n/e","n/e","n/e","0","","1039","0","n/e","n/e","27","n/e","n/e","n/e","n/e","66"
"BZN|RS","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","30","1947","n/e","237","n/e","n/e","n/e","n/e","n/e","0","","1001","0","n/e","n/e","27","n/e","n/e","n/e","n/e","105"
"BZN|RS","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","30","1945","n/e","239","n/e","n/e","n/e","n/e","n/e","0","","909","0","n/e","n/e","27","n/e","n/e","n/e","n/e","157"
"BZN|RS","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","30","1924","n/e","239","n/e","n/e","n/e","n/e","n/e","0","","764","0","n/e","n/e","27","n/e","n/e","n/e","n/e","76"
"BZN|RS","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","30","1934","n/e","237","n/e","n/e","n/e","n/e","n/e","0","","876","0","n/e","n/e","27","n/e","n/e","n/e","n/e","38"
"BZN|RS","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","30","1943","n/e","238","n/e","n/e","n/e","n/e","n/e","0","","996","0","n/e","n/e","27","n/e","n/e","n/e","n/e","95"
"BZN|RS","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","30","1946","n/e","242","n/e","n/e","n/e","n/e","n/e","0","","844","0","n/e","n/e","27","n/e","n/e","n/e","n/e","121"
"BZN|RS","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","30","1956","n/e","233","n/e","n/e","n/e","n/e","n/e","0","","890","0","n/e","n/e","27","n/e","n/e","n/e","n/e","116"
"BZN|RS","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","30","1931","n/e","240","n/e","n/e","n/e","n/e","n/e","0","","1099","0","n/e","n/e","27","n/e","n/e","n/e","n/e","111"
"BZN|RS","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","30","1932","n/e","233","n/e","n/e","n/e","n/e","n/e","0","","1314","0","n/e","n/e","27","n/e","n/e","n/e","n/e","70"
"BZN|RS","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","30","1954","n/e","233","n/e","n/e","n/e","n/e","n/e","0","","1493","0","n/e","n/e","27","n/e","n/e","n/e","n/e","92"
"BZN|RS","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","30","1948","n/e","233","n/e","n/e","n/e","n/e","n/e","0","","1466","21","n/e","n/e","27","n/e","n/e","n/e","n/e","66"
"BZN|RS","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","30","1957","n/e","235","n/e","n/e","n/e","n/e","n/e","0","","1358","24","n/e","n/e","27","n/e","n/e","n/e","n/e","61"
"BZN|RS","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","30","1959","n/e","235","n/e","n/e","n/e","n/e","n/e","0","","1357","0","n/e","n/e","27","n/e","n/e","n/e","n/e","49"
"BZN|RS","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","30","1938","n/e","233","n/e","n/e","n/e","n/e","n/e","0","","1355","0","n/e","n/e","27","n/e","n/e","n/e","n/e","40"
