"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|SI","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","13","231","n/e","60","n/e","0","n/e","n/e","n/e","0","","700","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","13","232","n/e","64","n/e","0","n/e","n/e","n/e","0","","557","n/e","n/e","692","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","13","234","n/e","66","n/e","0","n/e","n/e","n/e","0","","480","n/e","n/e","692","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","13","232","n/e","66","n/e","0","n/e","n/e","n/e","0","","424","n/e","n/e","691","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","13","233","n/e","66","n/e","0","n/e","n/e","n/e","0","","421","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","12","234","n/e","67","n/e","0","n/e","n/e","n/e","0","","420","n/e","n/e","691","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","12","234","n/e","67","n/e","0","n/e","n/e","n/e","0","","436","n/e","n/e","691","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","12","236","n/e","68","n/e","0","n/e","n/e","n/e","0","","375","n/e","n/e","692","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","12","233","n/e","68","n/e","0","n/e","n/e","n/e","0","","532","n/e","n/e","692","n/e","n/e","10","10","n/e","0"
"BZN|SI","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","12","233","n/e","69","n/e","0","n/e","n/e","n/e","0","","696","n/e","n/e","692","n/e","n/e","29","11","n/e","0"
"BZN|SI","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","12","234","n/e","66","n/e","0","n/e","n/e","n/e","0","","695","n/e","n/e","691","n/e","n/e","47","11","n/e","0"
"BZN|SI","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","12","234","n/e","66","n/e","0","n/e","n/e","n/e","0","","755","n/e","n/e","691","n/e","n/e","48","11","n/e","0"
"BZN|SI","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","12","231","n/e","67","n/e","0","n/e","n/e","n/e","0","","783","n/e","n/e","691","n/e","n/e","37","11","n/e","0"
"BZN|SI","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","11","235","n/e","67","n/e","0","n/e","n/e","n/e","0","","704","n/e","n/e","691","n/e","n/e","31","11","n/e","0"
"BZN|SI","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","12","225","n/e","67","n/e","0","n/e","n/e","n/e","0","","661","n/e","n/e","691","n/e","n/e","21","11","n/e","0"
"BZN|SI","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","12","216","n/e","66","n/e","0","n/e","n/e","n/e","0","","669","n/e","n/e","690","n/e","n/e","7","11","n/e","0"
"BZN|SI","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","12","223","n/e","67","n/e","0","n/e","n/e","n/e","0","","897","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","12","214","n/e","67","n/e","0","n/e","n/e","n/e","114","","911","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","12","211","n/e","67","n/e","0","n/e","n/e","n/e","113","","926","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","12","211","n/e","67","n/e","0","n/e","n/e","n/e","111","","890","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","12","208","n/e","66","n/e","0","n/e","n/e","n/e","0","","866","n/e","n/e","690","n/e","n/e","0","12","n/e","0"
"BZN|SI","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","14","213","n/e","68","n/e","0","n/e","n/e","n/e","0","","810","n/e","n/e","690","n/e","n/e","0","12","n/e","0"
"BZN|SI","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","14","212","n/e","66","n/e","0","n/e","n/e","n/e","0","","749","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","13","213","n/e","67","n/e","0","n/e","n/e","n/e","0","","588","n/e","n/e","690","n/e","n/e","0","12","n/e","0"
"BZN|SI","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","13","207","n/e","63","n/e","0","n/e","n/e","n/e","0","","501","n/e","n/e","690","n/e","n/e","0","11","n/e","0"
