MTU,Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
2018-01-01 00:00:00,279.0,0.0,1499.0,0.0,0.0,184.0,0.0,510.0,0.0,4950.0,254.0,1896.0
2018-01-01 01:00:00,232.0,0.0,1500.0,0.0,0.0,182.0,0.0,515.0,0.0,4950.0,251.0,1915.0
2018-01-01 02:00:00,154.0,0.0,1566.0,0.0,0.0,181.0,0.0,513.0,0.0,4800.0,253.0,1916.0
2018-01-01 03:00:00,134.0,0.0,1552.0,0.0,0.0,181.0,0.0,540.0,0.0,4577.0,253.0,1832.0
2018-01-01 04:00:00,131.0,0.0,1515.0,0.0,0.0,181.0,0.0,525.0,0.0,4522.0,254.0,1800.0
2018-01-01 05:00:00,131.0,0.0,1530.0,0.0,0.0,181.0,0.0,492.0,0.0,4529.0,254.0,1716.0
2018-01-01 06:00:00,131.0,0.0,1523.0,0.0,0.0,181.0,0.0,538.0,0.0,4527.0,256.0,1644.0
2018-01-01 07:00:00,137.0,0.0,1499.0,0.0,0.0,180.0,0.0,549.0,0.0,4530.0,258.0,1594.0
2018-01-01 08:00:00,156.0,0.0,1463.0,0.0,0.0,180.0,0.0,534.0,0.0,4530.0,261.0,1572.0
2018-01-01 09:00:00,158.0,0.0,1446.0,0.0,0.0,180.0,0.0,551.0,90.0,4531.0,259.0,1546.0
2018-01-01 10:00:00,161.0,0.0,1400.0,0.0,0.0,179.0,0.0,561.0,293.0,4530.0,261.0,1511.0
2018-01-01 11:00:00,158.0,0.0,1451.0,0.0,0.0,179.0,0.0,545.0,436.0,4636.0,258.0,1461.0
2018-01-01 12:00:00,160.0,0.0,1436.0,0.0,0.0,81.0,0.0,547.0,242.0,4862.0,260.0,1369.0
2018-01-01 13:00:00,158.0,0.0,1568.0,0.0,0.0,54.0,0.0,598.0,139.0,4949.0,258.0,1126.0
2018-01-01 14:00:00,160.0,0.0,1493.0,0.0,0.0,51.0,0.0,666.0,63.0,4946.0,258.0,827.0
2018-01-01 15:00:00,167.0,0.0,1563.0,0.0,0.0,138.0,0.0,673.0,26.0,4948.0,257.0,547.0
2018-01-01 16:00:00,165.0,0.0,1713.0,0.0,0.0,397.0,0.0,693.0,2.0,4949.0,260.0,318.0
2018-01-01 17:00:00,164.0,0.0,1807.0,0.0,0.0,1106.0,0.0,705.0,0.0,4950.0,257.0,415.0
2018-01-01 18:00:00,162.0,0.0,1603.0,0.0,0.0,839.0,0.0,689.0,0.0,4950.0,258.0,399.0
2018-01-01 19:00:00,158.0,0.0,1504.0,0.0,0.0,378.0,0.0,602.0,0.0,4946.0,256.0,872.0
2018-01-01 20:00:00,153.0,0.0,1371.0,0.0,0.0,140.0,0.0,463.0,0.0,4943.0,260.0,1385.0
2018-01-01 21:00:00,129.0,0.0,1450.0,0.0,0.0,205.0,0.0,430.0,0.0,4945.0,259.0,1319.0
2018-01-01 22:00:00,138.0,0.0,1423.0,0.0,0.0,370.0,0.0,454.0,0.0,4944.0,262.0,1426.0
2018-01-01 23:00:00,134.0,0.0,1437.0,0.0,0.0,155.0,0.0,523.0,0.0,4945.0,262.0,1499.0
2018-01-02 00:00:00,133.0,0.0,1393.0,0.0,0.0,27.0,0.0,591.0,0.0,4946.0,263.0,1505.0
2018-01-02 01:00:00,136.0,0.0,1405.0,0.0,0.0,27.0,0.0,584.0,0.0,4947.0,261.0,1511.0
2018-01-02 02:00:00,135.0,0.0,1369.0,0.0,0.0,26.0,0.0,572.0,0.0,4908.0,261.0,1579.0
2018-01-02 03:00:00,152.0,0.0,1345.0,0.0,0.0,26.0,0.0,563.0,0.0,4849.0,262.0,1599.0
