MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2021-01-01 00:00:00,31.0,1404.0,341.0,0.0,105.0,0.0,2103.0,0.0,0.0,4.0,135.0
2021-01-01 01:00:00,30.0,1288.0,339.0,0.0,87.0,0.0,2102.0,0.0,0.0,4.0,143.0
2021-01-01 02:00:00,31.0,1184.0,339.0,0.0,86.0,0.0,2103.0,0.0,0.0,4.0,172.0
2021-01-01 03:00:00,31.0,1305.0,339.0,0.0,86.0,0.0,2102.0,0.0,0.0,4.0,122.0
2021-01-01 04:00:00,31.0,1229.0,343.0,0.0,92.0,0.0,2103.0,0.0,0.0,4.0,102.0
2021-01-01 05:00:00,30.0,1180.0,343.0,0.0,93.0,0.0,2103.0,0.0,0.0,4.0,111.0
2021-01-01 06:00:00,30.0,1172.0,344.0,0.0,97.0,0.0,2104.0,0.0,0.0,4.0,161.0
2021-01-01 07:00:00,31.0,1146.0,344.0,0.0,129.0,0.0,2104.0,0.0,72.0,4.0,186.0
2021-01-01 08:00:00,30.0,1149.0,343.0,0.0,153.0,0.0,2103.0,0.0,292.0,4.0,135.0
2021-01-01 09:00:00,30.0,1146.0,342.0,0.0,155.0,0.0,2102.0,0.0,535.0,4.0,100.0
2021-01-01 10:00:00,29.0,1179.0,341.0,0.0,147.0,0.0,2104.0,0.0,675.0,4.0,78.0
2021-01-01 11:00:00,29.0,1154.0,340.0,0.0,129.0,0.0,2102.0,0.0,709.0,5.0,76.0
2021-01-01 12:00:00,30.0,1143.0,342.0,0.0,106.0,0.0,2102.0,0.0,661.0,5.0,88.0
2021-01-01 13:00:00,29.0,1144.0,340.0,0.0,100.0,0.0,2102.0,0.0,503.0,5.0,60.0
2021-01-01 14:00:00,31.0,1146.0,342.0,0.0,97.0,0.0,2103.0,0.0,256.0,5.0,35.0
2021-01-01 15:00:00,31.0,1166.0,341.0,0.0,188.0,0.0,2103.0,0.0,41.0,5.0,26.0
2021-01-01 16:00:00,30.0,1245.0,341.0,0.0,728.0,0.0,2102.0,0.0,0.0,5.0,30.0
2021-01-01 17:00:00,31.0,1328.0,342.0,0.0,973.0,0.0,2102.0,0.0,0.0,5.0,24.0
2021-01-01 18:00:00,30.0,1340.0,342.0,0.0,944.0,0.0,2102.0,0.0,0.0,4.0,24.0
2021-01-01 19:00:00,30.0,1334.0,342.0,0.0,843.0,0.0,2104.0,0.0,0.0,4.0,16.0
2021-01-01 20:00:00,30.0,1336.0,341.0,0.0,636.0,0.0,2103.0,0.0,0.0,4.0,14.0
2021-01-01 21:00:00,30.0,1261.0,345.0,0.0,591.0,0.0,2103.0,0.0,0.0,4.0,16.0
2021-01-01 22:00:00,31.0,1205.0,344.0,0.0,476.0,0.0,2104.0,0.0,0.0,4.0,17.0
2021-01-01 23:00:00,32.0,1325.0,346.0,0.0,142.0,0.0,2105.0,0.0,0.0,4.0,9.0
2021-01-02 00:00:00,31.0,1226.0,348.0,0.0,79.0,0.0,2103.0,0.0,0.0,4.0,8.0
2021-01-02 01:00:00,32.0,1170.0,348.0,0.0,78.0,0.0,2101.0,0.0,0.0,4.0,15.0
2021-01-02 02:00:00,31.0,1177.0,350.0,0.0,79.0,0.0,2104.0,0.0,0.0,4.0,25.0
2021-01-02 03:00:00,32.0,1175.0,348.0,0.0,81.0,0.0,2104.0,0.0,0.0,4.0,37.0
2021-01-02 04:00:00,31.0,1180.0,348.0,0.0,81.0,0.0,2105.0,0.0,0.0,4.0,62.0
