MTU,Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
2023-01-01 00:00:00,268.0,2755.0,344.0,3.0,0.0,317.0,0.0,261.0,0.0,3929.0,23.0,236.0
2023-01-01 01:00:00,266.0,2342.0,349.0,3.0,0.0,298.0,0.0,261.0,0.0,3929.0,23.0,214.0
2023-01-01 02:00:00,266.0,2304.0,352.0,3.0,0.0,288.0,0.0,260.0,0.0,3933.0,23.0,189.0
2023-01-01 03:00:00,266.0,2283.0,347.0,3.0,0.0,282.0,0.0,259.0,0.0,3934.0,23.0,159.0
2023-01-01 04:00:00,266.0,2285.0,349.0,3.0,0.0,284.0,0.0,260.0,0.0,3929.0,23.0,160.0
2023-01-01 05:00:00,266.0,2311.0,350.0,3.0,0.0,236.0,0.0,260.0,0.0,3931.0,23.0,148.0
2023-01-01 06:00:00,267.0,2260.0,355.0,3.0,0.0,330.0,0.0,275.0,0.0,3934.0,23.0,141.0
2023-01-01 07:00:00,268.0,2194.0,358.0,3.0,0.0,291.0,0.0,280.0,3.0,3934.0,23.0,148.0
2023-01-01 08:00:00,267.0,2172.0,354.0,3.0,0.0,343.0,0.0,289.0,54.0,3935.0,23.0,170.0
2023-01-01 09:00:00,268.0,2072.0,350.0,3.0,0.0,271.0,0.0,291.0,289.0,3934.0,24.0,181.0
2023-01-01 10:00:00,268.0,2102.0,345.0,3.0,0.0,274.0,0.0,292.0,542.0,3933.0,23.0,177.0
2023-01-01 11:00:00,267.0,2120.0,348.0,3.0,0.0,273.0,0.0,290.0,674.0,3930.0,23.0,173.0
2023-01-01 12:00:00,267.0,2107.0,346.0,3.0,0.0,305.0,0.0,285.0,645.0,3925.0,23.0,171.0
2023-01-01 13:00:00,266.0,2132.0,354.0,3.0,0.0,276.0,0.0,284.0,487.0,3924.0,23.0,158.0
2023-01-01 14:00:00,262.0,2157.0,354.0,3.0,0.0,260.0,0.0,284.0,274.0,3922.0,23.0,164.0
2023-01-01 15:00:00,268.0,2190.0,356.0,3.0,0.0,351.0,0.0,279.0,74.0,3921.0,23.0,163.0
2023-01-01 16:00:00,268.0,2239.0,359.0,3.0,0.0,459.0,0.0,286.0,5.0,3920.0,23.0,157.0
2023-01-01 17:00:00,268.0,2319.0,360.0,3.0,0.0,687.0,0.0,289.0,0.0,3924.0,23.0,139.0
2023-01-01 18:00:00,268.0,2385.0,356.0,3.0,0.0,632.0,0.0,291.0,0.0,3924.0,23.0,127.0
2023-01-01 19:00:00,268.0,2382.0,358.0,3.0,0.0,1115.0,0.0,296.0,0.0,3924.0,23.0,126.0
2023-01-01 20:00:00,268.0,2363.0,360.0,3.0,0.0,1000.0,0.0,297.0,0.0,3926.0,23.0,122.0
2023-01-01 21:00:00,268.0,2324.0,357.0,3.0,0.0,294.0,0.0,287.0,0.0,3929.0,23.0,132.0
2023-01-01 22:00:00,267.0,2219.0,348.0,3.0,0.0,294.0,0.0,266.0,0.0,3928.0,23.0,156.0
2023-01-01 23:00:00,263.0,2202.0,345.0,3.0,0.0,281.0,0.0,263.0,0.0,3927.0,23.0,178.0
2023-01-02 00:00:00,261.0,2120.0,342.0,2.0,0.0,257.0,0.0,262.0,0.0,3930.0,23.0,157.0
2023-01-02 01:00:00,262.0,2111.0,342.0,3.0,0.0,254.0,0.0,263.0,0.0,3932.0,23.0,167.0
2023-01-02 02:00:00,262.0,2070.0,342.0,3.0,0.0,196.0,0.0,263.0,0.0,3934.0,23.0,169.0
2023-01-02 03:00:00,266.0,2075.0,343.0,3.0,0.0,196.0,0.0,263.0,0.0,3931.0,23.0,193.0
2023-01-02 04:00:00,267.0,2087.0,345.0,3.0,0.0,305.0,0.0,263.0,0.0,3931.0,23.0,174.0
2023-01-02 05:00:00,266.0,2193.0,345.0,3.0,0.0,375.0,0.0,263.0,0.0,3934.0,23.0,159.0
2023-01-02 06:00:00,268.0,2444.0,380.0,3.0,0.0,394.0,0.0,278.0,0.0,3936.0,23.0,156.0
2023-01-02 07:00:00,276.0,2985.0,388.0,3.0,0.0,436.0,0.0,286.0,4.0,3937.0,23.0,156.0
2023-01-02 08:00:00,268.0,3209.0,374.0,3.0,0.0,589.0,0.0,291.0,36.0,3939.0,23.0,168.0
2023-01-02 09:00:00,265.0,3358.0,371.0,3.0,0.0,720.0,0.0,297.0,174.0,3941.0,23.0,162.0
2023-01-02 10:00:00,264.0,3435.0,370.0,3.0,0.0,735.0,0.0,296.0,353.0,3939.0,23.0,158.0
2023-01-02 11:00:00,263.0,3554.0,368.0,3.0,0.0,612.0,0.0,296.0,502.0,3936.0,24.0,137.0
2023-01-02 12:00:00,264.0,3699.0,367.0,3.0,0.0,394.0,0.0,294.0,438.0,3939.0,23.0,112.0
2023-01-02 13:00:00,267.0,3819.0,367.0,3.0,0.0,294.0,0.0,290.0,304.0,3940.0,23.0,106.0
2023-01-02 14:00:00,266.0,3892.0,368.0,3.0,0.0,385.0,0.0,292.0,162.0,3935.0,23.0,109.0
2023-01-02 15:00:00,264.0,3901.0,368.0,3.0,0.0,384.0,0.0,295.0,46.0,3933.0,23.0,121.0
2023-01-02 16:00:00,263.0,4025.0,371.0,3.0,0.0,382.0,0.0,298.0,5.0,3936.0,24.0,137.0
2023-01-02 17:00:00,269.0,4069.0,372.0,3.0,0.0,663.0,0.0,302.0,0.0,3936.0,23.0,138.0
2023-01-02 18:00:00,269.0,4146.0,374.0,3.0,0.0,832.0,0.0,303.0,0.0,3934.0,24.0,140.0
2023-01-02 19:00:00,268.0,4191.0,375.0,3.0,0.0,816.0,0.0,301.0,0.0,3937.0,24.0,149.0
2023-01-02 20:00:00,264.0,4093.0,372.0,3.0,0.0,939.0,0.0,297.0,0.0,3940.0,24.0,180.0
2023-01-02 21:00:00,270.0,4072.0,365.0,3.0,0.0,539.0,0.0,290.0,0.0,3940.0,24.0,193.0
2023-01-02 22:00:00,269.0,3884.0,336.0,3.0,0.0,278.0,0.0,268.0,0.0,3940.0,24.0,187.0
2023-01-02 23:00:00,268.0,3829.0,333.0,3.0,0.0,265.0,0.0,263.0,0.0,3940.0,23.0,127.0
2023-01-03 00:00:00,265.0,3807.0,333.0,3.0,0.0,199.0,0.0,258.0,0.0,3941.0,23.0,119.0
2023-01-03 01:00:00,264.0,3783.0,333.0,3.0,0.0,198.0,0.0,257.0,0.0,3941.0,23.0,134.0
2023-01-03 02:00:00,264.0,3702.0,334.0,3.0,0.0,197.0,0.0,256.0,0.0,3942.0,23.0,126.0
2023-01-03 03:00:00,264.0,3747.0,336.0,3.0,0.0,196.0,0.0,256.0,0.0,3942.0,23.0,105.0
2023-01-03 04:00:00,261.0,3827.0,347.0,3.0,0.0,226.0,0.0,256.0,0.0,3941.0,23.0,74.0
2023-01-03 05:00:00,266.0,4054.0,356.0,4.0,0.0,230.0,0.0,258.0,0.0,3942.0,23.0,69.0
2023-01-03 06:00:00,266.0,4222.0,374.0,13.0,0.0,367.0,0.0,280.0,0.0,3941.0,23.0,68.0
