MTU,Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
2021-01-01 00:00:00,70.0,3.0,28.0,156.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,29.0
2021-01-01 01:00:00,69.0,3.0,29.0,119.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,29.0
2021-01-01 02:00:00,69.0,3.0,28.0,123.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,25.0
2021-01-01 03:00:00,66.0,3.0,26.0,121.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,20.0
2021-01-01 04:00:00,67.0,3.0,26.0,122.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,23.0
2021-01-01 05:00:00,68.0,3.0,26.0,119.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,23.0
2021-01-01 06:00:00,68.0,3.0,27.0,118.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,20.0
2021-01-01 07:00:00,67.0,3.0,25.0,122.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,12.0
2021-01-01 08:00:00,67.0,3.0,25.0,121.0,0.0,1.0,0.0,4.0,1.0,0.0,15.0,8.0
2021-01-01 09:00:00,68.0,3.0,26.0,121.0,0.0,1.0,0.0,4.0,2.0,0.0,15.0,7.0
2021-01-01 10:00:00,68.0,3.0,26.0,121.0,0.0,1.0,0.0,4.0,3.0,0.0,15.0,7.0
2021-01-01 11:00:00,68.0,3.0,26.0,121.0,0.0,1.0,0.0,4.0,4.0,0.0,16.0,7.0
2021-01-01 12:00:00,69.0,3.0,26.0,120.0,0.0,1.0,0.0,4.0,3.0,0.0,16.0,6.0
2021-01-01 13:00:00,69.0,3.0,27.0,121.0,0.0,1.0,0.0,4.0,2.0,0.0,16.0,8.0
2021-01-01 14:00:00,69.0,3.0,31.0,121.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,9.0
2021-01-01 15:00:00,70.0,3.0,33.0,170.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,11.0
2021-01-01 16:00:00,71.0,3.0,34.0,168.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,15.0
2021-01-01 17:00:00,72.0,3.0,34.0,161.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,17.0
2021-01-01 18:00:00,72.0,3.0,37.0,200.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,23.0
2021-01-01 19:00:00,72.0,3.0,40.0,216.0,0.0,1.0,0.0,4.0,0.0,0.0,15.0,22.0
