MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2017-01-01 00:00:00,341.0,7058.0,5412.0,0.0,2200.0,392.0,7104.0,175.0,30.0,416.0,1760.0
2017-01-01 01:00:00,338.0,6859.0,5401.0,0.0,2453.0,422.0,7104.0,176.0,30.0,418.0,1825.0
2017-01-01 02:00:00,337.0,6631.0,4753.0,0.0,2321.0,857.0,7104.0,175.0,50.0,419.0,1814.0
2017-01-01 03:00:00,335.0,6438.0,4321.0,0.0,1815.0,1146.0,7104.0,175.0,87.0,417.0,1792.0
2017-01-01 04:00:00,336.0,6199.0,4320.0,0.0,1303.0,1665.0,7104.0,175.0,92.0,417.0,1712.0
2017-01-01 05:00:00,336.0,6181.0,3920.0,0.0,879.0,2000.0,7106.0,176.0,92.0,415.0,1662.0
2017-01-01 06:00:00,337.0,6004.0,4009.0,0.0,829.0,2019.0,7106.0,176.0,92.0,410.0,1695.0
2017-01-01 07:00:00,336.0,5880.0,4196.0,0.0,828.0,2034.0,7104.0,178.0,88.0,418.0,1789.0
2017-01-01 08:00:00,337.0,5744.0,3969.0,0.0,861.0,2152.0,7103.0,178.0,59.0,416.0,1769.0
2017-01-01 09:00:00,340.0,5614.0,3930.0,0.0,1037.0,1716.0,7105.0,176.0,386.0,419.0,1684.0
2017-01-01 10:00:00,339.0,5922.0,4250.0,0.0,1188.0,1180.0,7106.0,172.0,1105.0,418.0,1485.0
2017-01-01 11:00:00,340.0,6405.0,4818.0,0.0,1099.0,1096.0,7104.0,171.0,1796.0,413.0,1454.0
2017-01-01 12:00:00,340.0,6458.0,4705.0,0.0,1268.0,1156.0,7103.0,171.0,2368.0,417.0,1511.0
2017-01-01 13:00:00,329.0,6429.0,4357.0,0.0,1099.0,1298.0,7102.0,171.0,2565.0,425.0,1542.0
2017-01-01 14:00:00,331.0,6460.0,4618.0,0.0,1502.0,1297.0,7101.0,171.0,2619.0,428.0,1547.0
