MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2017-01-01 00:00:00,285.0,1456.0,7395.0,0.0,6810.0,0.0,53322.0,220.0,0.0,272.0,604.0
2017-01-01 01:00:00,286.0,1039.0,7298.0,0.0,5670.0,0.0,53290.0,232.0,0.0,273.0,633.0
2017-01-01 02:00:00,286.0,1052.0,6935.0,0.0,5177.0,588.0,53132.0,232.0,0.0,273.0,627.0
2017-01-01 03:00:00,286.0,1005.0,6191.0,0.0,5102.0,1165.0,52982.0,232.0,0.0,273.0,609.0
2017-01-01 04:00:00,286.0,1018.0,5961.0,0.0,4456.0,1347.0,53086.0,232.0,0.0,273.0,637.0
2017-01-01 05:00:00,286.0,1050.0,5995.0,0.0,4100.0,1600.0,53133.0,232.0,0.0,274.0,663.0
2017-01-01 06:00:00,286.0,1005.0,5934.0,0.0,3931.0,1644.0,53047.0,231.0,0.0,274.0,683.0
2017-01-01 07:00:00,286.0,996.0,5984.0,0.0,4004.0,1827.0,53037.0,232.0,0.0,274.0,749.0
2017-01-01 08:00:00,286.0,998.0,6004.0,0.0,4062.0,1739.0,53022.0,232.0,99.0,274.0,801.0
2017-01-01 09:00:00,285.0,1048.0,6109.0,0.0,4448.0,1590.0,53067.0,231.0,423.0,274.0,832.0
2017-01-01 10:00:00,285.0,1061.0,6102.0,0.0,4848.0,1334.0,53096.0,232.0,1005.0,275.0,867.0
2017-01-01 11:00:00,285.0,1087.0,6133.0,0.0,5139.0,1570.0,53145.0,232.0,1399.0,275.0,907.0
2017-01-01 12:00:00,286.0,1106.0,6149.0,0.0,5688.0,885.0,53198.0,232.0,1611.0,275.0,929.0
2017-01-01 13:00:00,285.0,1066.0,6086.0,0.0,6612.0,755.0,53102.0,232.0,1578.0,275.0,949.0
2017-01-01 14:00:00,285.0,967.0,5952.0,0.0,5853.0,871.0,51944.0,232.0,1314.0,275.0,946.0
2017-01-01 15:00:00,285.0,1040.0,6255.0,0.0,5366.0,1051.0,51430.0,232.0,769.0,274.0,918.0
2017-01-01 16:00:00,285.0,1022.0,6664.0,0.0,5034.0,1192.0,51431.0,232.0,257.0,273.0,916.0
2017-01-01 17:00:00,285.0,1074.0,6892.0,0.0,5783.0,811.0,51609.0,231.0,69.0,273.0,966.0
2017-01-01 18:00:00,284.0,1025.0,7080.0,0.0,7929.0,0.0,51654.0,231.0,0.0,273.0,964.0
2017-01-01 19:00:00,285.0,1076.0,7283.0,0.0,8317.0,0.0,51714.0,232.0,0.0,274.0,965.0
2017-01-01 20:00:00,286.0,1056.0,7179.0,0.0,6909.0,26.0,51825.0,232.0,0.0,274.0,969.0
2017-01-01 21:00:00,286.0,976.0,7184.0,0.0,6307.0,327.0,51935.0,232.0,0.0,274.0,923.0
2017-01-01 22:00:00,285.0,947.0,7170.0,0.0,5918.0,166.0,51936.0,232.0,0.0,273.0,842.0
2017-01-01 23:00:00,286.0,943.0,7168.0,0.0,5575.0,451.0,51927.0,231.0,0.0,274.0,776.0
2017-01-02 00:00:00,285.0,968.0,7360.0,0.0,4987.0,788.0,51637.0,232.0,0.0,274.0,718.0
2017-01-02 01:00:00,285.0,904.0,7047.0,0.0,4330.0,1740.0,51699.0,232.0,0.0,274.0,700.0
2017-01-02 02:00:00,286.0,814.0,7117.0,0.0,4355.0,1929.0,51758.0,232.0,0.0,273.0,642.0
2017-01-02 03:00:00,285.0,890.0,7091.0,0.0,4068.0,2514.0,52074.0,232.0,0.0,273.0,609.0
2017-01-02 04:00:00,286.0,993.0,6909.0,0.0,3657.0,2543.0,51926.0,232.0,0.0,273.0,562.0
2017-01-02 05:00:00,286.0,1193.0,7078.0,0.0,3683.0,2506.0,51984.0,232.0,0.0,273.0,546.0
2017-01-02 06:00:00,286.0,1676.0,7200.0,0.0,4405.0,1601.0,52176.0,232.0,0.0,272.0,591.0
2017-01-02 07:00:00,286.0,2020.0,7558.0,0.0,4865.0,483.0,52307.0,231.0,0.0,273.0,609.0
2017-01-02 08:00:00,285.0,2112.0,7996.0,0.0,5588.0,322.0,52304.0,231.0,102.0,272.0,585.0
2017-01-02 09:00:00,285.0,2144.0,8340.0,0.0,6255.0,332.0,52432.0,232.0,395.0,272.0,564.0
2017-01-02 10:00:00,285.0,2158.0,8425.0,0.0,7007.0,0.0,52459.0,231.0,887.0,272.0,568.0
2017-01-02 11:00:00,284.0,2204.0,8529.0,0.0,8039.0,0.0,52508.0,232.0,1228.0,272.0,586.0
2017-01-02 12:00:00,285.0,2166.0,8633.0,0.0,8342.0,0.0,52553.0,232.0,1424.0,272.0,550.0
2017-01-02 13:00:00,286.0,2175.0,8630.0,0.0,7867.0,0.0,52492.0,232.0,1481.0,270.0,543.0
2017-01-02 14:00:00,285.0,2234.0,8432.0,0.0,7660.0,0.0,52524.0,232.0,1242.0,271.0,661.0
2017-01-02 15:00:00,284.0,2194.0,8411.0,0.0,6629.0,0.0,53094.0,231.0,751.0,270.0,756.0
2017-01-02 16:00:00,285.0,2195.0,8532.0,0.0,6394.0,0.0,53202.0,231.0,268.0,270.0,813.0
2017-01-02 17:00:00,284.0,2180.0,8581.0,0.0,9249.0,0.0,53239.0,229.0,70.0,270.0,930.0
