MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,303.0,2309.0,0.0,305.0,295.0,0.0,0.0,0.0,0.0,1305.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,358.0,1759.0,0.0,300.0,213.0,0.0,0.0,0.0,0.0,1362.0
2023-01-01 09:00:00,0.0,378.0,1862.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1149.0
2023-01-01 10:00:00,0.0,349.0,2016.0,0.0,303.0,0.0,0.0,18.0,0.0,0.0,1086.0
2023-01-01 11:00:00,0.0,314.0,2943.0,0.0,303.0,0.0,0.0,598.0,0.0,0.0,756.0
2023-01-01 12:00:00,0.0,307.0,3466.0,0.0,294.0,0.0,0.0,803.0,0.0,0.0,602.0
2023-01-01 13:00:00,0.0,100.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:00:00,0.0,303.0,4261.0,0.0,389.0,0.0,0.0,898.0,0.0,0.0,387.0
2023-01-01 15:00:00,0.0,368.0,4171.0,0.0,387.0,0.0,0.0,872.0,0.0,0.0,311.0
2023-01-01 16:00:00,0.0,382.0,3791.0,0.0,298.0,0.0,0.0,866.0,0.0,0.0,469.0
2023-01-01 17:00:00,0.0,387.0,3910.0,0.0,349.0,0.0,0.0,911.0,0.0,0.0,675.0
2023-01-01 18:00:00,0.0,359.0,3986.0,0.0,509.0,0.0,0.0,872.0,0.0,0.0,1032.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,294.0,3923.0,0.0,736.0,0.0,0.0,584.0,0.0,0.0,1198.0
2023-01-01 21:00:00,0.0,292.0,3889.0,0.0,492.0,0.0,0.0,723.0,0.0,0.0,1164.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,308.0,3153.0,0.0,290.0,286.0,0.0,622.0,0.0,0.0,451.0
2023-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,309.0,3268.0,0.0,291.0,0.0,0.0,808.0,0.0,0.0,416.0
2023-01-02 09:00:00,0.0,306.0,3127.0,0.0,300.0,0.0,0.0,883.0,0.0,0.0,581.0
2023-01-02 10:00:00,0.0,307.0,3120.0,0.0,327.0,0.0,0.0,879.0,0.0,0.0,935.0
2023-01-02 11:00:00,0.0,308.0,3070.0,0.0,321.0,0.0,0.0,900.0,0.0,0.0,1417.0
2023-01-02 12:00:00,0.0,305.0,3097.0,0.0,324.0,0.0,0.0,609.0,0.0,0.0,1852.0
2023-01-02 13:00:00,0.0,289.0,3126.0,0.0,336.0,0.0,0.0,483.0,0.0,0.0,2321.0
2023-01-02 14:00:00,0.0,298.0,3072.0,0.0,333.0,0.0,0.0,470.0,0.0,0.0,2676.0
2023-01-02 15:00:00,0.0,293.0,2954.0,0.0,334.0,0.0,0.0,396.0,0.0,0.0,3190.0
2023-01-02 16:00:00,0.0,351.0,2610.0,0.0,336.0,0.0,0.0,393.0,0.0,0.0,3766.0
2023-01-02 17:00:00,0.0,394.0,2625.0,0.0,380.0,0.0,0.0,416.0,0.0,0.0,4925.0
2023-01-02 18:00:00,0.0,385.0,3440.0,0.0,618.0,0.0,0.0,404.0,0.0,0.0,5692.0
2023-01-02 19:00:00,0.0,385.0,2945.0,0.0,591.0,0.0,0.0,381.0,0.0,0.0,6575.0
2023-01-02 20:00:00,0.0,346.0,2241.0,0.0,376.0,0.0,0.0,381.0,0.0,0.0,7290.0
2023-01-02 21:00:00,0.0,290.0,1689.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,8007.0
2023-01-02 22:00:00,0.0,292.0,1473.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,8246.0
2023-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
