MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2017-01-01 00:00:00,190.0,10912.0,650.0,0.0,219.0,0.0,0.0,223.0,0.0,0.0,2822.0
2017-01-01 01:00:00,194.0,10649.0,648.0,0.0,220.0,0.0,0.0,222.0,0.0,0.0,2749.0
2017-01-01 02:00:00,193.0,10361.0,648.0,0.0,220.0,0.0,0.0,221.0,0.0,0.0,2691.0
2017-01-01 03:00:00,190.0,10156.0,647.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,2658.0
2017-01-01 04:00:00,191.0,10199.0,647.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,2658.0
2017-01-01 05:00:00,191.0,10346.0,649.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,2563.0
2017-01-01 06:00:00,191.0,10200.0,653.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,2637.0
2017-01-01 07:00:00,192.0,10257.0,652.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,2738.0
2017-01-01 08:00:00,192.0,10480.0,655.0,0.0,223.0,0.0,0.0,222.0,0.0,0.0,2828.0
2017-01-01 09:00:00,192.0,10860.0,656.0,0.0,226.0,0.0,0.0,221.0,0.0,0.0,2912.0
2017-01-01 10:00:00,191.0,11093.0,656.0,0.0,226.0,0.0,0.0,221.0,0.0,0.0,2899.0
2017-01-01 11:00:00,191.0,11406.0,655.0,0.0,226.0,0.0,0.0,221.0,0.0,0.0,2854.0
2017-01-01 12:00:00,192.0,11780.0,655.0,0.0,226.0,0.0,0.0,220.0,0.0,0.0,2731.0
2017-01-01 13:00:00,191.0,12085.0,655.0,0.0,226.0,0.0,0.0,221.0,0.0,0.0,2699.0
2017-01-01 14:00:00,191.0,12062.0,655.0,0.0,230.0,0.0,0.0,220.0,0.0,0.0,2683.0
2017-01-01 15:00:00,191.0,11566.0,656.0,0.0,240.0,0.0,0.0,221.0,0.0,0.0,2938.0
2017-01-01 16:00:00,192.0,12627.0,657.0,0.0,324.0,0.0,0.0,221.0,0.0,0.0,3183.0
2017-01-01 17:00:00,192.0,12865.0,655.0,0.0,319.0,0.0,0.0,222.0,0.0,0.0,3340.0
2017-01-01 18:00:00,191.0,12873.0,655.0,0.0,281.0,0.0,0.0,223.0,0.0,0.0,3320.0
