MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2017-01-01 00:00:00,33.0,2842.0,336.0,0.0,63.0,0.0,2045.0,0.0,0.0,5.0,397.0,316.4558831557681
2017-01-01 01:00:00,34.0,2657.0,336.0,0.0,62.0,0.0,2046.0,0.0,0.0,5.0,380.0,308.86808262461994
2017-01-01 02:00:00,33.0,2612.0,335.0,0.0,61.0,0.0,2046.0,0.0,0.0,5.0,427.0,308.4414775829431
2017-01-01 03:00:00,34.0,2698.0,336.0,0.0,62.0,0.0,2048.0,0.0,0.0,5.0,450.0,312.48540893858643
2017-01-01 04:00:00,34.0,2651.0,334.0,0.0,61.0,0.0,2047.0,0.0,0.0,5.0,446.0,310.7191240640652
2017-01-01 05:00:00,34.0,2653.0,335.0,0.0,74.0,0.0,2047.0,0.0,0.0,5.0,415.0,309.10863065243205
2017-01-01 06:00:00,34.0,2671.0,335.0,0.0,98.0,0.0,2047.0,0.0,0.0,5.0,439.0,309.242696651218
2017-01-01 07:00:00,34.0,2565.0,333.0,0.0,104.0,0.0,2049.0,0.0,33.0,5.0,446.0,307.1906357866791
2017-01-01 08:00:00,33.0,2577.0,336.0,0.0,95.0,0.0,2050.0,0.0,123.0,5.0,389.0,312.40185660200734
2017-01-01 09:00:00,33.0,2721.0,336.0,0.0,92.0,0.0,2050.0,0.0,230.0,5.0,268.0,321.8431610071194
2017-01-01 10:00:00,33.0,2707.0,334.0,0.0,89.0,0.0,2049.0,0.0,324.0,5.0,231.0,326.8098070946062
2017-01-01 11:00:00,33.0,2806.0,332.0,0.0,84.0,0.0,2048.0,0.0,355.0,5.0,210.0,332.1307354806383
2017-01-01 12:00:00,34.0,2791.0,334.0,0.0,68.0,0.0,2049.0,0.0,340.0,5.0,198.0,331.24257724987206
2017-01-01 13:00:00,33.0,2670.0,334.0,0.0,55.0,0.0,2048.0,0.0,286.0,5.0,211.0,324.4070253943427
2017-01-01 14:00:00,32.0,2726.0,335.0,0.0,61.0,0.0,2048.0,0.0,139.0,5.0,198.0,315.6563416561463
2017-01-01 15:00:00,34.0,2778.0,336.0,0.0,171.0,0.0,2048.0,0.0,22.0,5.0,192.0,303.5613689404079
2017-01-01 16:00:00,34.0,2864.0,337.0,0.0,772.0,0.0,2046.0,0.0,0.0,5.0,173.0,276.05194544851486
2017-01-01 17:00:00,35.0,2877.0,338.0,0.0,945.0,0.0,2045.0,0.0,0.0,5.0,200.0,270.26612832410717
2017-01-01 18:00:00,34.0,2830.0,339.0,0.0,898.0,0.0,2046.0,0.0,0.0,5.0,219.0,270.7026700291891
2017-01-01 19:00:00,32.0,2826.0,340.0,0.0,737.0,0.0,2045.0,0.0,0.0,5.0,211.0,276.9066251620225
2017-01-01 20:00:00,34.0,2791.0,339.0,0.0,540.0,0.0,2045.0,0.0,0.0,5.0,220.0,284.9843815232217
2017-01-01 21:00:00,33.0,2911.0,340.0,0.0,486.0,0.0,2044.0,0.0,0.0,5.0,213.0,292.05740542701375
2017-01-01 22:00:00,34.0,2807.0,338.0,0.0,321.0,0.0,2046.0,0.0,0.0,5.0,207.0,295.88034511824424
2017-01-01 23:00:00,30.0,2962.0,326.0,0.0,46.0,0.0,2047.0,0.0,0.0,4.0,158.0,315.1197038552918
2017-01-02 00:00:00,32.0,2981.0,326.0,0.0,36.0,0.0,2047.0,0.0,0.0,5.0,132.0,315.9687965821589
2017-01-02 01:00:00,30.0,2974.0,327.0,0.0,35.0,0.0,2046.0,0.0,0.0,5.0,138.0,315.65077013635425
2017-01-02 02:00:00,30.0,2962.0,327.0,0.0,35.0,0.0,2045.0,0.0,0.0,5.0,146.0,315.46673101817305
2017-01-02 03:00:00,30.0,2955.0,325.0,0.0,34.0,0.0,2048.0,0.0,0.0,5.0,125.0,314.5775323092904
2017-01-02 04:00:00,30.0,3046.0,325.0,0.0,38.0,0.0,2046.0,0.0,0.0,5.0,115.0,317.7052611550962
