MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2022-01-01 00:00:00,256.0,2191.0,584.0,0.0,142.0,19.0,3447.0,1.0,0.0,276.0,194.0,260.721339430558
2022-01-01 01:00:00,256.0,2212.0,575.0,0.0,141.0,313.0,3443.0,0.0,0.0,276.0,201.0,298.2511374176307
2022-01-01 02:00:00,257.0,2215.0,574.0,0.0,140.0,939.0,3444.0,0.0,0.0,275.0,194.0,366.1209245725361
2022-01-01 03:00:00,256.0,2193.0,576.0,0.0,142.0,1044.0,3447.0,0.0,0.0,274.0,180.0,375.3821681128654
2022-01-01 04:00:00,257.0,2183.0,576.0,0.0,143.0,1098.0,3446.0,0.0,0.0,274.0,192.0,380.758726720163
2022-01-01 05:00:00,257.0,2211.0,522.0,0.0,143.0,1089.0,3446.0,0.0,0.0,276.0,169.0,382.28618636153726
2022-01-01 06:00:00,263.0,2278.0,534.0,0.0,145.0,750.0,3447.0,0.0,0.0,286.0,165.0,349.59743297863116
2022-01-01 07:00:00,261.0,2202.0,534.0,0.0,155.0,23.0,3445.0,0.0,2.0,286.0,145.0,262.03847781888305
2022-01-01 08:00:00,259.0,2147.0,524.0,0.0,179.0,5.0,3441.0,0.0,18.0,285.0,160.0,258.47858552472246
2022-01-01 09:00:00,264.0,2286.0,533.0,0.0,179.0,5.0,3445.0,0.0,104.0,284.0,145.0,268.5186163900786
2022-01-01 10:00:00,266.0,2308.0,537.0,0.0,188.0,6.0,3445.0,0.0,230.0,286.0,159.0,277.0905469755989
2022-01-01 11:00:00,265.0,2333.0,540.0,0.0,172.0,2.0,3444.0,0.0,262.0,286.0,162.0,279.7978171444128
2022-01-01 12:00:00,268.0,2334.0,543.0,0.0,190.0,0.0,3443.0,0.0,193.0,287.0,164.0,275.37441042341015
2022-01-01 13:00:00,266.0,2297.0,540.0,0.0,195.0,0.0,3444.0,0.0,119.0,287.0,164.0,269.4410294813841
2022-01-01 14:00:00,267.0,2299.0,537.0,0.0,239.0,0.0,3446.0,0.0,55.0,285.0,147.0,263.5706644364459
2022-01-01 15:00:00,266.0,2299.0,538.0,0.0,214.0,0.0,3446.0,0.0,14.0,287.0,92.0,259.812480288692
2022-01-01 16:00:00,269.0,2448.0,544.0,0.0,894.0,0.0,3449.0,0.0,2.0,291.0,43.0,240.9357199977905
