MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2020-01-01 00:00:00,70.0,3.0,64.0,0.0,1.0,0.0,0.0,103.0,0.0,22.0,138.0,366.81649806854597
2020-01-01 01:00:00,68.0,3.0,66.0,0.0,1.0,0.0,0.0,88.0,0.0,21.0,142.0,375.64786107413835
2020-01-01 02:00:00,69.0,3.0,65.0,0.0,1.0,0.0,0.0,87.0,0.0,21.0,153.0,380.4042342768598
2020-01-01 03:00:00,66.0,3.0,64.0,0.0,1.0,0.0,0.0,88.0,0.0,21.0,134.0,372.81957207311797
2020-01-01 04:00:00,68.0,3.0,63.0,0.0,1.0,0.0,0.0,85.0,0.0,21.0,110.0,377.38632710183026
2020-01-01 05:00:00,68.0,3.0,61.0,0.0,1.0,0.0,0.0,93.0,0.0,20.0,122.0,372.64266937872196
2020-01-01 06:00:00,68.0,3.0,63.0,0.0,1.0,0.0,0.0,93.0,0.0,20.0,149.0,374.33179451522824
2020-01-01 07:00:00,67.0,3.0,63.0,0.0,1.0,0.0,0.0,99.0,0.0,21.0,150.0,367.50006743592616
2020-01-01 08:00:00,67.0,3.0,63.0,0.0,1.0,0.0,0.0,96.0,1.0,21.0,130.0,368.2901021686605
2020-01-01 09:00:00,66.0,3.0,64.0,0.0,1.0,0.0,0.0,96.0,4.0,21.0,146.0,370.37692668572817
2020-01-01 10:00:00,66.0,3.0,65.0,0.0,1.0,0.0,0.0,98.0,8.0,21.0,124.0,368.12047814435886
2020-01-01 11:00:00,66.0,3.0,63.0,0.0,1.0,0.0,0.0,98.0,7.0,21.0,129.0,369.6645402516598
2020-01-01 12:00:00,66.0,3.0,63.0,0.0,1.0,0.0,0.0,99.0,4.0,22.0,155.0,369.8394230237771
2020-01-01 13:00:00,65.0,3.0,66.0,0.0,1.0,0.0,0.0,99.0,2.0,22.0,181.0,367.6006478114159
2020-01-01 14:00:00,65.0,3.0,66.0,0.0,1.0,0.0,0.0,98.0,0.0,22.0,188.0,367.7650931483106
