MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2022-01-01 00:00:00,526.0,867.0,3478.0,0.0,2403.0,1271.0,6091.0,135.0,75.0,419.0,6342.0,181.37236641466603
2022-01-01 01:00:00,533.0,847.0,3874.0,0.0,2429.0,1711.0,6091.0,121.0,75.0,416.0,6398.0,197.99267090238257
2022-01-01 02:00:00,524.0,842.0,3557.0,0.0,1792.0,1884.0,6092.0,112.0,75.0,411.0,6456.0,213.1260072485249
2022-01-01 03:00:00,532.0,855.0,3590.0,0.0,1778.0,2515.0,6091.0,105.0,75.0,412.0,6144.0,241.9833622779391
2022-01-01 04:00:00,528.0,868.0,3444.0,0.0,1804.0,2913.0,6091.0,105.0,75.0,409.0,5943.0,260.6350830949018
2022-01-01 05:00:00,533.0,850.0,3446.0,0.0,1750.0,2957.0,6092.0,105.0,75.0,413.0,5836.0,263.59357417073386
2022-01-01 06:00:00,534.0,856.0,3651.0,0.0,1627.0,2854.0,6092.0,106.0,75.0,412.0,5685.0,259.63588423064215
2022-01-01 07:00:00,539.0,856.0,3847.0,0.0,1797.0,2850.0,6092.0,108.0,75.0,407.0,5583.0,256.33232857127547
2022-01-01 08:00:00,527.0,841.0,3737.0,0.0,1797.0,2992.0,6094.0,109.0,144.0,413.0,5546.0,264.04194498770386
2022-01-01 09:00:00,525.0,829.0,3591.0,0.0,1766.0,3305.0,6094.0,110.0,2024.0,414.0,5625.0,310.5225856928024
2022-01-01 10:00:00,508.0,792.0,3304.0,0.0,1796.0,3362.0,6092.0,107.0,5220.0,412.0,5201.0,363.23399857826337
2022-01-01 11:00:00,501.0,776.0,3263.0,0.0,1799.0,3283.0,6091.0,114.0,7033.0,415.0,4909.0,384.9616908779979
2022-01-01 12:00:00,511.0,688.0,3300.0,0.0,1758.0,3163.0,6090.0,122.0,7564.0,415.0,4490.0,391.0120437500585
2022-01-01 13:00:00,521.0,702.0,3524.0,0.0,1796.0,2993.0,6089.0,124.0,7514.0,420.0,4262.0,384.7335194141015
2022-01-01 14:00:00,538.0,762.0,3849.0,0.0,1909.0,2593.0,6091.0,126.0,7338.0,417.0,4113.0,367.95828263908817
2022-01-01 15:00:00,529.0,781.0,3503.0,0.0,1997.0,2322.0,6090.0,127.0,6789.0,412.0,4709.0,351.2150897326201
2022-01-01 16:00:00,530.0,810.0,3687.0,0.0,2472.0,2012.0,6088.0,128.0,4763.0,412.0,4927.0,303.9194704234378
2022-01-01 17:00:00,537.0,813.0,3630.0,0.0,3093.0,1108.0,6085.0,138.0,1679.0,410.0,5379.0,205.83968896050828
2022-01-01 18:00:00,538.0,901.0,4064.0,0.0,4008.0,515.0,6084.0,139.0,270.0,407.0,5617.0,138.90569797223645
2022-01-01 19:00:00,534.0,946.0,4436.0,0.0,4032.0,514.0,6085.0,140.0,145.0,412.0,6164.0,134.74230353472856
2022-01-01 20:00:00,538.0,980.0,4376.0,0.0,4157.0,364.0,6086.0,140.0,129.0,412.0,6530.0,128.2303707560567
2022-01-01 21:00:00,540.0,996.0,4480.0,0.0,4090.0,362.0,6087.0,140.0,78.0,419.0,6813.0,127.39347594953043
2022-01-01 22:00:00,539.0,937.0,4197.0,0.0,3726.0,374.0,6089.0,140.0,49.0,414.0,6838.0,129.10658101618424
2022-01-01 23:00:00,535.0,876.0,4016.0,0.0,3660.0,416.0,6091.0,139.0,14.0,415.0,6562.0,129.78262224176126
2022-01-02 00:00:00,534.0,810.0,3874.0,0.0,2448.0,1253.0,6091.0,138.0,0.0,413.0,6413.0,175.13943558216485
2022-01-02 01:00:00,538.0,834.0,3959.0,0.0,2051.0,1368.0,6093.0,126.0,15.0,402.0,6353.0,184.1279235038793
2022-01-02 02:00:00,537.0,824.0,3873.0,0.0,1723.0,1734.0,6093.0,124.0,5.0,404.0,6053.0,204.51516525702908
2022-01-02 03:00:00,544.0,822.0,3940.0,0.0,1597.0,1985.0,6092.0,124.0,5.0,400.0,5959.0,217.05943275354744
2022-01-02 04:00:00,545.0,822.0,3891.0,0.0,1584.0,2087.0,6084.0,123.0,5.0,402.0,5816.0,222.78549033719577
2022-01-02 05:00:00,548.0,827.0,3889.0,0.0,1591.0,1904.0,6078.0,124.0,5.0,402.0,5741.0,215.07934355851447
2022-01-02 06:00:00,554.0,852.0,4231.0,0.0,1693.0,1514.0,6081.0,124.0,5.0,400.0,5585.0,194.70262992265964
2022-01-02 07:00:00,544.0,875.0,5048.0,0.0,1708.0,1290.0,6082.0,122.0,5.0,402.0,5360.0,178.8741511057496
