MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2022-01-01 00:00:00,373.0,28.0,2642.0,0.0,9130.0,0.0,39523.0,203.0,0.0,262.0,3153.0,35.11024672969283
2022-01-01 01:00:00,378.0,28.0,2609.0,0.0,8585.0,0.0,38466.0,211.0,0.0,269.0,3177.0,35.61353587773301
2022-01-01 02:00:00,374.0,29.0,2502.0,0.0,6930.0,183.0,37836.0,212.0,0.0,270.0,3050.0,39.95016762957598
2022-01-01 03:00:00,372.0,28.0,2506.0,0.0,6039.0,1845.0,36816.0,214.0,0.0,270.0,3133.0,71.88148292068361
2022-01-01 04:00:00,367.0,29.0,2509.0,0.0,5991.0,2844.0,36359.0,215.0,0.0,269.0,3403.0,90.0279634991976
2022-01-01 05:00:00,364.0,28.0,2512.0,0.0,5965.0,3395.0,36759.0,215.0,0.0,263.0,3610.0,98.90452826191235
2022-01-01 06:00:00,359.0,29.0,2510.0,0.0,6096.0,3695.0,37298.0,215.0,0.0,264.0,3747.0,102.82469506381383
2022-01-01 07:00:00,357.0,28.0,2652.0,0.0,6115.0,3287.0,37624.0,214.0,0.0,260.0,4056.0,95.24828930811293
2022-01-01 08:00:00,358.0,28.0,2656.0,0.0,6073.0,3003.0,39311.0,214.0,244.0,263.0,4531.0,91.21982937230752
2022-01-01 09:00:00,359.0,28.0,2645.0,0.0,6273.0,2980.0,39731.0,214.0,962.0,260.0,4837.0,97.52267317594841
2022-01-01 10:00:00,360.0,28.0,2653.0,0.0,6298.0,2811.0,40138.0,215.0,2410.0,259.0,4843.0,109.02577922217438
2022-01-01 11:00:00,356.0,28.0,2656.0,0.0,6564.0,2639.0,40756.0,215.0,3698.0,245.0,4583.0,117.76415462626734
2022-01-01 12:00:00,359.0,28.0,2686.0,0.0,7051.0,1901.0,40987.0,215.0,4270.0,237.0,3890.0,111.9729853025237
2022-01-01 13:00:00,359.0,28.0,2647.0,0.0,7029.0,1386.0,40832.0,215.0,4332.0,236.0,3230.0,105.78974189843441
2022-01-01 14:00:00,358.0,28.0,2593.0,0.0,7085.0,217.0,41010.0,215.0,3567.0,236.0,2835.0,79.98876751219451
2022-01-01 15:00:00,361.0,28.0,2589.0,0.0,7732.0,0.0,41079.0,215.0,2174.0,248.0,2577.0,60.533647930871126
2022-01-01 16:00:00,361.0,28.0,2605.0,0.0,8529.0,0.0,41186.0,215.0,801.0,231.0,3050.0,44.344181205337485
2022-01-01 17:00:00,362.0,29.0,2611.0,0.0,10086.0,0.0,41689.0,215.0,244.0,234.0,3901.0,37.3896834546567
2022-01-01 18:00:00,362.0,29.0,2596.0,0.0,11279.0,0.0,42120.0,215.0,0.0,239.0,4718.0,34.479708609921836
2022-01-01 19:00:00,361.0,29.0,2587.0,0.0,10709.0,0.0,41944.0,215.0,0.0,241.0,4918.0,34.85790232042648
2022-01-01 20:00:00,359.0,29.0,2625.0,0.0,9974.0,0.0,41423.0,214.0,0.0,241.0,4905.0,35.22932490566599
2022-01-01 21:00:00,360.0,28.0,2734.0,0.0,8590.0,0.0,41202.0,214.0,0.0,240.0,5112.0,36.085578106459245
2022-01-01 22:00:00,357.0,28.0,2839.0,0.0,8319.0,0.0,41137.0,215.0,0.0,242.0,4990.0,36.12808036637371
2022-01-01 23:00:00,358.0,28.0,2878.0,0.0,7910.0,0.0,40962.0,214.0,0.0,244.0,5052.0,36.41831940267879
2022-01-02 00:00:00,357.0,28.0,2880.0,0.0,6796.0,179.0,39542.0,215.0,0.0,238.0,5006.0,40.286995537793636
2022-01-02 01:00:00,356.0,27.0,2890.0,0.0,6511.0,2011.0,38995.0,215.0,0.0,238.0,5152.0,71.76558610685471
2022-01-02 02:00:00,357.0,25.0,2896.0,0.0,6031.0,2939.0,38876.0,215.0,0.0,238.0,5403.0,87.4978044353563
2022-01-02 03:00:00,362.0,26.0,2885.0,0.0,5883.0,3240.0,36483.0,214.0,0.0,238.0,5644.0,95.22049873402918
2022-01-02 04:00:00,360.0,27.0,2873.0,0.0,5816.0,3567.0,36083.0,214.0,0.0,238.0,6299.0,100.78168299137015
2022-01-02 05:00:00,363.0,26.0,2865.0,0.0,5843.0,3713.0,36077.0,214.0,0.0,233.0,7041.0,102.67476126429139
2022-01-02 06:00:00,361.0,27.0,2832.0,0.0,5904.0,3478.0,36026.0,214.0,0.0,235.0,7985.0,98.36182618598116
2022-01-02 07:00:00,361.0,28.0,2762.0,0.0,5809.0,3478.0,35977.0,214.0,0.0,235.0,8643.0,98.29361837813151
2022-01-02 08:00:00,359.0,29.0,2650.0,0.0,5884.0,3085.0,36817.0,214.0,263.0,235.0,8979.0,93.7588394012253
2022-01-02 09:00:00,359.0,29.0,2658.0,0.0,6213.0,2362.0,37924.0,215.0,623.0,234.0,9171.0,84.69531562596109
2022-01-02 10:00:00,359.0,29.0,2653.0,0.0,6608.0,2039.0,38592.0,214.0,1476.0,238.0,9030.0,87.37718097871321
2022-01-02 11:00:00,360.0,28.0,2648.0,0.0,6744.0,1063.0,39871.0,215.0,2163.0,239.0,8919.0,78.52776891442223
2022-01-02 12:00:00,358.0,28.0,2637.0,0.0,6645.0,934.0,40526.0,215.0,2516.0,234.0,9289.0,79.64013197534503
2022-01-02 13:00:00,358.0,28.0,2617.0,0.0,6587.0,1677.0,40583.0,215.0,2620.0,229.0,9867.0,91.10819135407158
