MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2022-01-01 00:00:00,54.0,0.0,37.0,0.0,24.0,0.0,0.0,0.0,0.0,33.0,221.0,391.91322481199785
2022-01-01 01:00:00,54.0,0.0,37.0,0.0,24.0,0.0,0.0,0.0,0.0,33.0,247.0,387.30664076124407
2022-01-01 02:00:00,54.0,0.0,37.0,0.0,59.0,0.0,0.0,0.0,0.0,33.0,263.0,354.9697991496209
2022-01-01 03:00:00,54.0,0.0,37.0,0.0,24.0,201.0,0.0,0.0,0.0,33.0,251.0,649.0563123845022
2022-01-01 04:00:00,54.0,0.0,37.0,0.0,24.0,223.0,0.0,0.0,0.0,33.0,265.0,659.8737226190816
2022-01-01 05:00:00,55.0,0.0,37.0,0.0,24.0,216.0,0.0,0.0,0.0,33.0,268.0,653.3828172721063
2022-01-01 06:00:00,55.0,0.0,37.0,0.0,24.0,0.0,0.0,0.0,0.0,32.0,317.0,379.21439848034794
2022-01-01 07:00:00,55.0,0.0,37.0,0.0,134.0,133.0,0.0,0.0,1.0,31.0,344.0,464.7244740658857
2022-01-01 08:00:00,55.0,0.0,37.0,0.0,139.0,141.0,0.0,0.0,3.0,31.0,343.0,470.00775681698735
2022-01-01 09:00:00,55.0,0.0,37.0,0.0,69.0,54.0,0.0,0.0,5.0,31.0,334.0,424.604619851968
2022-01-01 10:00:00,55.0,0.0,37.0,0.0,24.0,0.0,0.0,0.0,5.0,31.0,288.0,386.76554049610843
2022-01-01 11:00:00,55.0,0.0,37.0,0.0,25.0,0.0,0.0,0.0,4.0,31.0,283.0,385.91339058798934
2022-01-01 12:00:00,56.0,0.0,37.0,0.0,186.0,0.0,0.0,0.0,3.0,31.0,231.0,280.13505260229215
2022-01-01 13:00:00,56.0,0.0,37.0,0.0,216.0,0.0,0.0,0.0,1.0,31.0,190.0,259.78963603210116
2022-01-01 14:00:00,56.0,0.0,37.0,0.0,216.0,0.0,0.0,0.0,0.0,31.0,184.0,258.23802526341774
2022-01-01 15:00:00,56.0,0.0,37.0,0.0,262.0,0.0,0.0,0.0,0.0,31.0,126.0,228.28290518142126
2022-01-01 16:00:00,57.0,0.0,37.0,0.0,447.0,0.0,0.0,0.0,0.0,31.0,94.0,163.15868290211512
2022-01-01 17:00:00,56.0,0.0,37.0,0.0,426.0,0.0,0.0,0.0,0.0,31.0,73.0,161.57295759270755
2022-01-01 18:00:00,56.0,0.0,37.0,0.0,406.0,0.0,0.0,0.0,0.0,31.0,45.0,159.205830035109
2022-01-01 19:00:00,57.0,0.0,37.0,0.0,432.0,0.0,0.0,0.0,0.0,31.0,20.0,146.9047100652096
2022-01-01 20:00:00,57.0,0.0,37.0,0.0,329.0,0.0,0.0,0.0,0.0,31.0,9.0,174.28598984902544
2022-01-01 21:00:00,56.0,0.0,37.0,0.0,356.0,0.0,0.0,0.0,0.0,31.0,6.0,161.999254223439
2022-01-01 22:00:00,56.0,0.0,37.0,0.0,171.0,0.0,0.0,0.0,0.0,31.0,10.0,259.2468914183647
2022-01-01 23:00:00,57.0,0.0,37.0,0.0,75.0,0.0,0.0,0.0,0.0,31.0,17.0,377.72729013879507
2022-01-02 00:00:00,57.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,32.0,35.0,477.08605993296436
2022-01-02 01:00:00,57.0,0.0,36.0,0.0,24.0,224.0,0.0,0.0,0.0,32.0,54.0,833.6517051410127
2022-01-02 02:00:00,57.0,0.0,36.0,0.0,24.0,440.0,0.0,0.0,0.0,32.0,97.0,907.4656080799105
2022-01-02 03:00:00,57.0,0.0,36.0,0.0,24.0,566.0,0.0,0.0,0.0,32.0,129.0,924.4512106432437
2022-01-02 04:00:00,57.0,0.0,36.0,0.0,24.0,655.0,0.0,0.0,0.0,32.0,171.0,920.9060228184628
2022-01-02 05:00:00,57.0,0.0,36.0,0.0,24.0,652.0,0.0,0.0,0.0,32.0,252.0,874.1213081013309
2022-01-02 06:00:00,57.0,0.0,36.0,0.0,24.0,613.0,0.0,0.0,0.0,32.0,335.0,821.8247582300877
2022-01-02 07:00:00,57.0,0.0,36.0,0.0,24.0,110.0,0.0,0.0,1.0,31.0,335.0,527.6683185116225
2022-01-02 08:00:00,57.0,0.0,36.0,0.0,141.0,0.0,0.0,0.0,2.0,31.0,285.0,307.87003998329766
2022-01-02 09:00:00,56.0,0.0,36.0,0.0,109.0,0.0,0.0,0.0,3.0,31.0,248.0,325.94874641446984
2022-01-02 10:00:00,57.0,0.0,36.0,0.0,134.0,0.0,0.0,0.0,4.0,31.0,220.0,311.99791329485436
2022-01-02 11:00:00,57.0,0.0,36.0,0.0,26.0,0.0,0.0,0.0,3.0,31.0,251.0,393.83351550914944
2022-01-02 12:00:00,57.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,1.0,31.0,231.0,398.0523910938077
2022-01-02 13:00:00,56.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,31.0,201.0,401.6280205188876
2022-01-02 14:00:00,57.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,31.0,199.0,404.20228811402865
2022-01-02 15:00:00,56.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,31.0,191.0,403.98599205783484
2022-01-02 16:00:00,56.0,0.0,36.0,0.0,206.0,0.0,0.0,0.0,0.0,31.0,189.0,264.164224228848
2022-01-02 17:00:00,56.0,0.0,36.0,0.0,241.0,0.0,0.0,0.0,0.0,31.0,160.0,243.66543751521306
2022-01-02 18:00:00,53.0,0.0,36.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0,134.0,411.45507567350336
2022-01-02 19:00:00,56.0,0.0,36.0,0.0,75.0,0.0,0.0,0.0,0.0,31.0,121.0,358.2253747347189
2022-01-02 20:00:00,56.0,0.0,36.0,0.0,75.0,0.0,0.0,0.0,0.0,31.0,104.0,360.26857164845484
2022-01-02 21:00:00,56.0,0.0,36.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0,77.0,443.7890529345186
2022-01-02 22:00:00,55.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,31.0,55.0,430.4743572545181
2022-01-02 23:00:00,54.0,0.0,36.0,0.0,24.0,222.0,0.0,0.0,0.0,31.0,56.0,828.711126897671
2022-01-03 00:00:00,55.0,0.0,36.0,0.0,24.0,431.0,0.0,0.0,0.0,31.0,139.0,869.9999008734915
2022-01-03 01:00:00,54.0,0.0,36.0,0.0,24.0,436.0,0.0,0.0,0.0,32.0,128.0,879.4575960568945
2022-01-03 02:00:00,55.0,0.0,36.0,0.0,24.0,432.0,0.0,0.0,0.0,31.0,149.0,862.8736792990984
2022-01-03 03:00:00,55.0,0.0,36.0,0.0,24.0,223.0,0.0,0.0,0.0,31.0,132.0,753.1274030896259
2022-01-03 04:00:00,55.0,0.0,36.0,0.0,24.0,223.0,0.0,0.0,0.0,31.0,136.0,749.7119668869552
2022-01-03 05:00:00,54.0,0.0,36.0,0.0,35.0,221.0,0.0,0.0,0.0,31.0,140.0,728.1881771913389
2022-01-03 06:00:00,55.0,0.0,36.0,0.0,153.0,0.0,0.0,0.0,0.0,32.0,125.0,287.1525622266526
2022-01-03 07:00:00,55.0,0.0,36.0,0.0,87.0,0.0,0.0,0.0,1.0,34.0,149.0,342.20922817113774
2022-01-03 08:00:00,54.0,0.0,36.0,0.0,424.0,0.0,0.0,0.0,3.0,34.0,159.0,181.8201921450374
2022-01-03 09:00:00,49.0,0.0,36.0,0.0,522.0,0.0,0.0,0.0,4.0,32.0,133.0,148.9736805578704
2022-01-03 10:00:00,44.0,0.0,35.0,0.0,350.0,0.0,0.0,0.0,4.0,31.0,157.0,187.45583496048988
2022-01-03 11:00:00,52.0,0.0,35.0,0.0,340.0,0.0,0.0,0.0,4.0,33.0,189.0,208.8642347864444
2022-01-03 12:00:00,55.0,0.0,35.0,0.0,71.0,0.0,0.0,0.0,2.0,32.0,219.0,353.50435799062757
2022-01-03 13:00:00,45.0,0.0,34.0,0.0,65.0,0.0,0.0,0.0,1.0,31.0,203.0,339.7209453973029
2022-01-03 14:00:00,55.0,0.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0,187.0,403.7746415227058
2022-01-03 15:00:00,55.0,0.0,34.0,0.0,220.0,0.0,0.0,0.0,0.0,30.0,177.0,254.868830577541
2022-01-03 16:00:00,55.0,0.0,34.0,0.0,379.0,0.0,0.0,0.0,0.0,30.0,167.0,194.14842218494204
2022-01-03 17:00:00,55.0,0.0,34.0,0.0,426.0,0.0,0.0,0.0,0.0,30.0,211.0,189.8342174379565
2022-01-03 18:00:00,55.0,0.0,34.0,0.0,426.0,0.0,0.0,0.0,0.0,31.0,247.0,195.99751063768787
2022-01-03 19:00:00,55.0,0.0,34.0,0.0,198.0,0.0,0.0,0.0,0.0,31.0,247.0,273.0201520985601
2022-01-03 20:00:00,55.0,0.0,34.0,0.0,114.0,0.0,0.0,0.0,0.0,32.0,233.0,319.7444323999025
2022-01-03 21:00:00,55.0,0.0,34.0,0.0,136.0,0.0,0.0,0.0,0.0,33.0,226.0,305.41670014078414
2022-01-03 22:00:00,54.0,0.0,34.0,0.0,62.0,0.0,0.0,0.0,0.0,32.0,285.0,353.2728493646312
2022-01-03 23:00:00,54.0,0.0,34.0,0.0,26.0,0.0,0.0,0.0,0.0,32.0,309.0,379.1648936996528
2022-01-04 00:00:00,55.0,0.0,34.0,0.0,25.0,547.0,0.0,0.0,0.0,32.0,303.0,814.9412400987222
2022-01-04 01:00:00,55.0,0.0,34.0,0.0,25.0,657.0,0.0,0.0,0.0,33.0,309.0,846.9267522154937
2022-01-04 02:00:00,55.0,0.0,34.0,0.0,25.0,654.0,0.0,0.0,0.0,33.0,322.0,839.9863729193024
2022-01-04 03:00:00,55.0,0.0,34.0,0.0,25.0,652.0,0.0,0.0,0.0,32.0,316.0,842.6492789145955
2022-01-04 04:00:00,55.0,0.0,34.0,0.0,25.0,542.0,0.0,0.0,0.0,33.0,307.0,810.6841044687144
2022-01-04 05:00:00,55.0,0.0,34.0,0.0,25.0,57.0,0.0,0.0,0.0,32.0,302.0,471.45355753628667
2022-01-04 06:00:00,55.0,0.0,35.0,0.0,88.0,49.0,0.0,0.0,0.0,33.0,304.0,407.89259273640454
2022-01-04 07:00:00,55.0,0.0,35.0,0.0,290.0,0.0,0.0,0.0,3.0,33.0,323.0,246.2473279714196
2022-01-04 08:00:00,55.0,0.0,35.0,0.0,432.0,0.0,0.0,0.0,9.0,33.0,323.0,210.71616163571483
2022-01-04 09:00:00,53.0,0.0,35.0,0.0,470.0,0.0,0.0,0.0,10.0,32.0,320.0,200.26245765311867
2022-01-04 10:00:00,55.0,0.0,34.0,0.0,470.0,0.0,0.0,0.0,9.0,32.0,319.0,201.79818548244472
2022-01-04 11:00:00,56.0,0.0,2.0,0.0,460.0,0.0,0.0,0.0,7.0,33.0,322.0,210.4641440777007
2022-01-04 12:00:00,56.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,4.0,31.0,272.0,265.27473595224427
