MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2023-01-01 00:00:00,20.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,14.0,32.0,465.165274313416
2023-01-01 01:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,573.0626889045766
2023-01-01 02:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,651.0958796726917
2023-01-01 03:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,632.4271610393877
2023-01-01 04:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,687.9991606920134
2023-01-01 05:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,724.3346989264227
2023-01-01 06:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,756.8852852614141
2023-01-01 07:00:00,19.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,14.0,4.0,222.5251423199796
2023-01-01 08:00:00,20.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,14.0,10.0,231.0095845167154
2023-01-01 09:00:00,20.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,14.0,10.0,209.78599939433946
2023-01-01 10:00:00,19.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,13.0,4.0,50.5380373647834
2023-01-01 11:00:00,19.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,13.0,6.0,50.49887986125034
2023-01-01 12:00:00,20.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,14.0,3.0,52.434631324514946
2023-01-01 13:00:00,20.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,14.0,0.0,51.24485979778193
2023-01-01 14:00:00,20.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,14.0,0.0,50.02730574371508
2023-01-01 15:00:00,19.0,0.0,0.0,0.0,664.0,0.0,0.0,0.0,0.0,13.0,0.0,42.12540174969082
2023-01-01 16:00:00,22.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,14.0,2.0,47.98306202916697
2023-01-01 17:00:00,25.0,0.0,0.0,0.0,881.0,0.0,0.0,0.0,0.0,14.0,5.0,42.43011415699887
2023-01-01 18:00:00,27.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,14.0,3.0,43.787548468320026
2023-01-01 19:00:00,26.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,13.0,11.0,44.57546445476887
2023-01-01 20:00:00,23.0,0.0,0.0,0.0,892.0,0.0,0.0,0.0,0.0,13.0,16.0,42.76542608505212
2023-01-01 21:00:00,19.0,0.0,0.0,0.0,815.0,0.0,0.0,0.0,0.0,13.0,2.0,36.23246754251809
2023-01-01 22:00:00,18.0,0.0,0.0,0.0,763.0,0.0,0.0,0.0,0.0,12.0,0.0,35.76030511333958
2023-01-01 23:00:00,21.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,15.0,0.0,55.688615420807515
2023-01-02 00:00:00,24.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,15.0,0.0,70.15605465232832
2023-01-02 01:00:00,22.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,15.0,0.0,66.06477493578295
2023-01-02 02:00:00,23.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,15.0,0.0,68.24729580326093
2023-01-02 03:00:00,27.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,15.0,0.0,76.88901810444912
2023-01-02 04:00:00,30.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,15.0,1.0,83.78193294478793
2023-01-02 05:00:00,30.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,15.0,9.0,87.73364409042803
2023-01-02 06:00:00,31.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,15.0,17.0,84.91387953241465
2023-01-02 07:00:00,32.0,0.0,0.0,0.0,664.0,0.0,0.0,0.0,0.0,15.0,16.0,68.89666788184628
2023-01-02 08:00:00,33.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,0.0,17.0,24.0,73.2839787639832
2023-01-02 09:00:00,32.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,17.0,22.0,74.81299979140034
2023-01-02 10:00:00,33.0,0.0,0.0,0.0,719.0,0.0,0.0,0.0,0.0,17.0,15.0,66.12149899618466
2023-01-02 11:00:00,33.0,0.0,0.0,0.0,797.0,0.0,0.0,0.0,0.0,17.0,15.0,60.60254665082224
2023-01-02 12:00:00,32.0,0.0,0.0,0.0,858.0,0.0,0.0,0.0,0.0,17.0,16.0,56.06777126318017
2023-01-02 13:00:00,31.0,0.0,0.0,0.0,849.0,0.0,0.0,0.0,0.0,16.0,15.0,54.77653957201125
2023-01-02 14:00:00,33.0,0.0,0.0,0.0,932.0,0.0,0.0,0.0,0.0,16.0,16.0,53.09121886961763
2023-01-02 15:00:00,34.0,0.0,0.0,0.0,967.0,0.0,0.0,0.0,0.0,17.0,23.0,54.6751359426138
2023-01-02 16:00:00,34.0,0.0,0.0,0.0,967.0,0.0,0.0,0.0,0.0,17.0,28.0,56.00903903517551
2023-01-02 17:00:00,34.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,17.0,36.0,57.71781180230299
2023-01-02 18:00:00,34.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,18.0,35.0,57.27589741740969
2023-01-02 19:00:00,34.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,17.0,31.0,55.979219342882885
2023-01-02 20:00:00,34.0,0.0,0.0,0.0,965.0,0.0,0.0,0.0,0.0,18.0,52.0,62.59905182736827
2023-01-02 21:00:00,32.0,0.0,0.0,0.0,709.0,0.0,0.0,0.0,0.0,17.0,76.0,85.14369622338937
2023-01-02 22:00:00,28.0,0.0,0.0,0.0,633.0,0.0,0.0,0.0,0.0,17.0,84.0,90.22018891543166
2023-01-02 23:00:00,24.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,15.0,99.0,107.32780628377174
2023-01-03 00:00:00,28.0,0.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0,20.0,98.0,94.16272341715529
2023-01-03 01:00:00,26.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,20.0,101.0,92.55090671515728
2023-01-03 02:00:00,28.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,21.0,99.0,94.88010044038244
2023-01-03 03:00:00,29.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,19.0,96.0,94.91302956011485
2023-01-03 04:00:00,33.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,20.0,87.0,99.6047847861774
2023-01-03 05:00:00,33.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,18.0,89.0,93.0695144793666
2023-01-03 06:00:00,35.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,0.0,19.0,97.0,85.04798240448228
2023-01-03 07:00:00,36.0,0.0,2.0,0.0,848.0,0.0,0.0,0.0,0.0,21.0,87.0,81.83785472223803
2023-01-03 08:00:00,38.0,0.0,17.0,0.0,938.0,0.0,0.0,0.0,0.0,23.0,89.0,77.8139712629237
2023-01-03 09:00:00,40.0,0.0,42.0,0.0,974.0,0.0,0.0,0.0,0.0,26.0,76.0,74.31160761352803
2023-01-03 10:00:00,39.0,0.0,68.0,0.0,986.0,0.0,0.0,0.0,0.0,25.0,74.0,71.27996529173312
2023-01-03 11:00:00,39.0,0.0,71.0,0.0,1058.0,0.0,0.0,0.0,0.0,25.0,79.0,68.48877118103657
2023-01-03 12:00:00,38.0,0.0,65.0,0.0,1058.0,0.0,0.0,0.0,0.0,24.0,74.0,66.52251863768018
2023-01-03 13:00:00,38.0,0.0,65.0,0.0,1059.0,0.0,0.0,0.0,0.0,24.0,73.0,66.26151969970837
2023-01-03 14:00:00,39.0,0.0,65.0,0.0,1060.0,0.0,0.0,0.0,0.0,23.0,68.0,65.78606958126987
2023-01-03 15:00:00,38.0,0.0,65.0,0.0,1060.0,0.0,0.0,0.0,0.0,23.0,62.0,63.640746271678324
2023-01-03 16:00:00,39.0,0.0,65.0,0.0,1108.0,0.0,0.0,0.0,0.0,24.0,61.0,62.30176665154552
2023-01-03 17:00:00,39.0,0.0,65.0,0.0,1107.0,0.0,0.0,0.0,0.0,24.0,52.0,60.44810596806202
2023-01-03 18:00:00,40.0,0.0,65.0,0.0,1108.0,0.0,0.0,0.0,0.0,24.0,42.0,59.108730063980126
2023-01-03 19:00:00,40.0,0.0,63.0,0.0,1049.0,0.0,0.0,0.0,0.0,25.0,38.0,61.08659486675804
2023-01-03 20:00:00,38.0,0.0,61.0,0.0,994.0,0.0,0.0,0.0,0.0,23.0,37.0,61.22279251898651
2023-01-03 21:00:00,37.0,0.0,54.0,0.0,935.0,0.0,0.0,0.0,0.0,22.0,36.0,62.93196904850406
2023-01-03 22:00:00,35.0,0.0,53.0,0.0,926.0,0.0,0.0,0.0,0.0,21.0,32.0,60.16349215936811
2023-01-03 23:00:00,30.0,0.0,53.0,0.0,775.0,0.0,0.0,0.0,0.0,17.0,30.0,61.59110514542169
2023-01-04 00:00:00,32.0,0.0,52.0,0.0,687.0,0.0,0.0,0.0,0.0,21.0,22.0,69.0253065171751
2023-01-04 01:00:00,34.0,0.0,52.0,0.0,687.0,0.0,0.0,0.0,0.0,21.0,13.0,68.7162955871398
2023-01-04 02:00:00,35.0,0.0,52.0,0.0,682.0,0.0,0.0,0.0,0.0,21.0,8.0,68.79105541890877
2023-01-04 03:00:00,35.0,0.0,52.0,0.0,686.0,0.0,0.0,0.0,0.0,21.0,12.0,69.78994153339366
2023-01-04 04:00:00,36.0,0.0,51.0,0.0,687.0,0.0,0.0,0.0,0.0,21.0,16.0,72.36526945442834
2023-01-04 05:00:00,37.0,0.0,51.0,0.0,688.0,0.0,0.0,0.0,0.0,21.0,17.0,73.90981718728246
2023-01-04 06:00:00,37.0,0.0,52.0,0.0,970.0,0.0,0.0,0.0,0.0,21.0,13.0,55.18054944082508
2023-01-04 07:00:00,36.0,0.0,52.0,0.0,1109.0,0.0,0.0,0.0,0.0,20.0,8.0,47.25513841745524
2023-01-04 08:00:00,37.0,0.0,52.0,0.0,1108.0,0.0,0.0,0.0,0.0,21.0,8.0,48.41080116173671
2023-01-04 09:00:00,37.0,0.0,63.0,0.0,1108.0,0.0,0.0,0.0,0.0,20.0,4.0,47.15990577090631
2023-01-04 10:00:00,37.0,0.0,63.0,0.0,1108.0,0.0,0.0,0.0,0.0,21.0,3.0,47.15990577090631
2023-01-04 11:00:00,37.0,0.0,63.0,0.0,1096.0,0.0,0.0,0.0,0.0,21.0,7.0,48.508459608972764
2023-01-04 12:00:00,36.0,0.0,63.0,0.0,1095.0,0.0,0.0,0.0,0.0,21.0,10.0,48.355026571512035
2023-01-04 13:00:00,35.0,0.0,63.0,0.0,1105.0,0.0,0.0,0.0,0.0,21.0,14.0,48.049772376194134
2023-01-04 14:00:00,36.0,0.0,63.0,0.0,1107.0,0.0,0.0,0.0,0.0,21.0,16.0,49.31523212191584
2023-01-04 15:00:00,36.0,0.0,63.0,0.0,1106.0,0.0,0.0,0.0,0.0,21.0,26.0,51.62218862348772
2023-01-04 16:00:00,37.0,0.0,63.0,0.0,1111.0,0.0,0.0,0.0,0.0,22.0,37.0,54.958159142901515
2023-01-04 17:00:00,37.0,0.0,63.0,0.0,1107.0,0.0,0.0,0.0,0.0,22.0,42.0,56.211628974049994
2023-01-04 18:00:00,37.0,0.0,63.0,0.0,1108.0,0.0,0.0,0.0,0.0,22.0,45.0,56.824543854695776
2023-01-04 19:00:00,37.0,0.0,63.0,0.0,1108.0,0.0,0.0,0.0,0.0,23.0,48.0,57.69054266330197
2023-01-04 20:00:00,35.0,0.0,63.0,0.0,1109.0,0.0,0.0,0.0,0.0,21.0,66.0,59.39719990175239
2023-01-04 21:00:00,31.0,0.0,63.0,0.0,1109.0,0.0,0.0,0.0,0.0,21.0,67.0,56.27552620896524
2023-01-04 22:00:00,28.0,0.0,63.0,0.0,1108.0,0.0,0.0,0.0,0.0,21.0,72.0,54.88290452810119
2023-01-04 23:00:00,26.0,0.0,64.0,0.0,1107.0,0.0,0.0,0.0,0.0,21.0,74.0,53.667212055820265
2023-01-05 00:00:00,24.0,0.0,78.0,0.0,1074.0,0.0,0.0,0.0,0.0,19.0,69.0,51.49814425298585
2023-01-05 01:00:00,24.0,0.0,86.0,0.0,1082.0,0.0,0.0,0.0,0.0,19.0,74.0,52.22360517533598
2023-01-05 02:00:00,24.0,0.0,142.0,0.0,1090.0,0.0,0.0,0.0,0.0,19.0,79.0,52.3966107568976
2023-01-05 03:00:00,24.0,0.0,211.0,0.0,1000.0,0.0,0.0,0.0,0.0,19.0,77.0,54.423633087172284
2023-01-05 04:00:00,27.0,0.0,212.0,0.0,995.0,0.0,0.0,0.0,0.0,20.0,79.0,57.65783092854154
2023-01-05 05:00:00,30.0,0.0,212.0,0.0,1053.0,0.0,0.0,0.0,0.0,20.0,85.0,58.97449614656074
2023-01-05 06:00:00,33.0,0.0,213.0,0.0,1089.0,0.0,0.0,0.0,0.0,21.0,86.0,60.236428523577025
2023-01-05 07:00:00,38.0,0.0,215.0,0.0,1105.0,0.0,0.0,0.0,0.0,23.0,85.0,63.45855224686535
2023-01-05 08:00:00,39.0,0.0,217.0,0.0,1194.0,0.0,0.0,0.0,0.0,24.0,86.0,61.13189930751132
2023-01-05 09:00:00,37.0,0.0,218.0,0.0,1193.0,0.0,0.0,0.0,0.0,22.0,91.0,60.30033049867855
