MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2017-01-01 00:00:00,0.0,362.0,185.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,36.0,210.2899429933972
2017-01-01 01:00:00,0.0,361.0,185.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,36.0,216.1097175906374
2017-01-01 02:00:00,0.0,364.0,185.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,36.0,232.16590991764335
2017-01-01 03:00:00,0.0,362.0,185.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,36.0,252.75446984739213
2017-01-01 04:00:00,0.0,362.0,185.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,36.0,267.4745506177127
2017-01-01 05:00:00,0.0,361.0,195.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,36.0,269.3625630061365
2017-01-01 06:00:00,0.0,359.0,205.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,36.0,261.3445269658141
2017-01-01 07:00:00,0.0,359.0,210.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,36.0,262.8929750229277
2017-01-01 08:00:00,0.0,359.0,218.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,33.0,253.62622927122197
2017-01-01 09:00:00,0.0,360.0,216.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,33.0,237.9849511013079
2017-01-01 10:00:00,0.0,363.0,214.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,33.0,228.29518380090764
2017-01-01 11:00:00,0.0,354.0,212.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,36.0,215.0048442249018
2017-01-01 12:00:00,0.0,351.0,212.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,35.0,209.4303949430467
2017-01-01 13:00:00,0.0,357.0,212.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,35.0,212.28067903688964
2017-01-01 14:00:00,0.0,358.0,212.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,34.0,214.27775956851917
2017-01-01 15:00:00,0.0,356.0,212.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,30.0,213.90292278880074
2017-01-01 16:00:00,0.0,354.0,212.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,24.0,200.3403904197386
2017-01-01 17:00:00,0.0,357.0,212.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,25.0,201.11191040858623
2017-01-01 18:00:00,0.0,357.0,212.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,17.0,199.037759790932
2017-01-01 19:00:00,0.0,358.0,212.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,18.0,199.62317634650645
2017-01-01 20:00:00,0.0,368.0,214.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,10.0,199.99275011885487
2017-01-01 21:00:00,0.0,365.0,218.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,21.0,201.54152696721152
2017-01-01 22:00:00,0.0,360.0,210.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,20.0,201.12107621355725
2017-01-01 23:00:00,0.0,359.0,200.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,16.0,201.3696836137683
2017-01-02 00:00:00,0.0,360.0,185.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,11.0,204.30022993312178
2017-01-02 01:00:00,0.0,325.0,185.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,9.0,204.07719633223002
2017-01-02 02:00:00,0.0,315.0,185.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,12.0,218.46157579663145
2017-01-02 03:00:00,0.0,320.0,185.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,13.0,240.2071985264088
2017-01-02 04:00:00,0.0,320.0,185.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,24.0,249.9053757140506
2017-01-02 05:00:00,0.0,343.0,190.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,26.0,260.76892213223533
2017-01-02 06:00:00,0.0,376.0,200.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,26.0,285.68279037880916
2017-01-02 07:00:00,0.0,378.0,210.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,24.0,285.78577977493825
2017-01-02 08:00:00,0.0,388.0,214.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,21.0,289.1675604482063
2017-01-02 09:00:00,0.0,386.0,214.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,16.0,259.53797803985344
2017-01-02 10:00:00,0.0,360.0,212.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,13.0,231.7691972835786
2017-01-02 11:00:00,0.0,360.0,212.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,5.0,213.14073762217328
