MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2023-01-01 00:00:00,377.0,0.0,134.0,0.0,2221.0,61.0,0.0,0.0,0.0,24.0,3402.0,167.3640740214058
2023-01-01 01:00:00,386.0,0.0,133.0,0.0,2067.0,130.0,0.0,0.0,0.0,27.0,3417.0,184.02462146687978
2023-01-01 02:00:00,381.0,0.0,133.0,0.0,1485.0,395.0,0.0,0.0,0.0,28.0,3557.0,243.67329890269158
2023-01-01 03:00:00,375.0,0.0,133.0,0.0,1212.0,812.0,0.0,0.0,0.0,28.0,3673.0,313.6010212833921
2023-01-01 04:00:00,372.0,0.0,134.0,0.0,1184.0,1130.0,0.0,0.0,0.0,26.0,4074.0,344.67473426356656
2023-01-01 05:00:00,371.0,0.0,133.0,0.0,918.0,1368.0,0.0,0.0,0.0,26.0,4019.0,388.08269787482493
2023-01-01 06:00:00,372.0,0.0,133.0,0.0,913.0,1370.0,0.0,0.0,0.0,24.0,3887.0,393.37103024352615
2023-01-01 07:00:00,374.0,0.0,133.0,0.0,875.0,1367.0,0.0,0.0,0.0,25.0,3767.0,399.826585439925
2023-01-01 08:00:00,375.0,0.0,132.0,0.0,823.0,1122.0,0.0,0.0,0.0,26.0,3466.0,384.06921797766915
2023-01-01 09:00:00,376.0,0.0,132.0,0.0,816.0,1078.0,0.0,0.0,29.0,27.0,3328.0,385.6829283808461
2023-01-01 10:00:00,371.0,0.0,136.0,0.0,921.0,995.0,0.0,0.0,149.0,26.0,3386.0,371.389807591041
2023-01-01 11:00:00,368.0,0.0,135.0,0.0,1055.0,631.0,0.0,0.0,461.0,26.0,3425.0,330.81117900543296
2023-01-01 12:00:00,366.0,0.0,136.0,0.0,1965.0,508.0,0.0,0.0,683.0,25.0,3390.0,286.5348437006125
2023-01-01 13:00:00,363.0,0.0,136.0,0.0,1662.0,284.0,0.0,0.0,666.0,26.0,3929.0,259.2052447844811
2023-01-01 14:00:00,363.0,0.0,138.0,0.0,1717.0,461.0,0.0,0.0,479.0,26.0,4079.0,265.91636284996355
2023-01-01 15:00:00,353.0,0.0,139.0,0.0,1806.0,549.0,0.0,0.0,271.0,25.0,3963.0,261.7323850912207
2023-01-01 16:00:00,369.0,0.0,140.0,0.0,2274.0,117.0,0.0,0.0,136.0,27.0,3620.0,183.65832394879723
2023-01-01 17:00:00,361.0,0.0,161.0,0.0,2774.0,61.0,0.0,0.0,53.0,27.0,3111.0,155.65608390308645
2023-01-01 18:00:00,348.0,0.0,230.0,0.0,4351.0,60.0,0.0,0.0,1.0,27.0,2459.0,117.26959548983854
2023-01-01 19:00:00,348.0,0.0,295.0,0.0,5565.0,59.0,0.0,0.0,0.0,25.0,2020.0,98.06670280432333
2023-01-01 20:00:00,348.0,0.0,296.0,0.0,5601.0,59.0,0.0,0.0,0.0,27.0,2013.0,97.624346546636
2023-01-01 21:00:00,351.0,0.0,297.0,0.0,5320.0,153.0,0.0,0.0,0.0,27.0,2189.0,114.4061276774832
2023-01-01 22:00:00,350.0,0.0,179.0,0.0,4941.0,243.0,0.0,0.0,0.0,26.0,2368.0,133.11496937399602
2023-01-01 23:00:00,352.0,0.0,140.0,0.0,4663.0,291.0,0.0,0.0,0.0,25.0,2045.0,144.2778418541191
2023-01-02 00:00:00,351.0,0.0,133.0,0.0,3687.0,404.0,0.0,0.0,0.0,26.0,1503.0,184.5165892781729
2023-01-02 01:00:00,344.0,0.0,133.0,0.0,3210.0,404.0,0.0,0.0,0.0,27.0,1082.0,202.08984618787878
2023-01-02 02:00:00,344.0,0.0,134.0,0.0,2941.0,382.0,0.0,0.0,0.0,26.0,852.0,211.14664997424043
2023-01-02 03:00:00,351.0,0.0,135.0,0.0,2876.0,336.0,0.0,0.0,0.0,26.0,811.0,206.2425312759321
2023-01-02 04:00:00,346.0,0.0,196.0,0.0,2992.0,404.0,0.0,0.0,0.0,22.0,891.0,211.08577522620166
2023-01-02 05:00:00,345.0,0.0,379.0,0.0,3071.0,389.0,0.0,0.0,0.0,23.0,943.0,198.23104908349404
2023-01-02 06:00:00,349.0,0.0,797.0,0.0,3308.0,84.0,0.0,0.0,0.0,24.0,915.0,124.41843358630796
2023-01-02 07:00:00,354.0,0.0,1070.0,0.0,3438.0,165.0,0.0,0.0,0.0,24.0,885.0,132.78037109346027
2023-01-02 08:00:00,346.0,0.0,1259.0,0.0,4451.0,61.0,0.0,0.0,1.0,25.0,697.0,93.80647509795955
2023-01-02 09:00:00,338.0,0.0,1368.0,0.0,5014.0,60.0,0.0,0.0,107.0,25.0,553.0,92.4868741057183
2023-01-02 10:00:00,334.0,0.0,1551.0,0.0,4969.0,62.0,0.0,0.0,366.0,24.0,346.0,110.30334022215763
