MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2018-01-01 00:00:00,5.0,2932.0,2.0,0.0,1236.0,0.0,0.0,0.0,0.0,65.0,0.0,349.55534974254
2018-01-01 01:00:00,5.0,2951.0,2.0,0.0,1246.0,0.0,0.0,0.0,0.0,66.0,0.0,349.4176072489728
2018-01-01 02:00:00,5.0,2957.0,2.0,0.0,1119.0,0.0,0.0,0.0,0.0,65.0,0.0,360.1167967474372
2018-01-01 03:00:00,5.0,2958.0,2.0,0.0,1085.0,0.0,0.0,0.0,0.0,64.0,0.0,363.0390988973324
2018-01-01 04:00:00,5.0,2942.0,2.0,0.0,1182.0,0.0,0.0,0.0,0.0,63.0,0.0,354.2353988600098
2018-01-01 05:00:00,5.0,2916.0,2.0,0.0,1083.0,0.0,0.0,0.0,0.0,62.0,0.0,361.8186314587358
2018-01-01 06:00:00,5.0,2928.0,2.0,0.0,992.0,0.0,0.0,0.0,0.0,62.0,0.0,370.34127921136553
2018-01-01 07:00:00,5.0,2935.0,2.0,0.0,914.0,0.0,0.0,0.0,0.0,62.0,0.0,377.8257332246394
2018-01-01 08:00:00,5.0,2938.0,2.0,0.0,1029.0,0.0,0.0,0.0,0.0,63.0,0.0,367.3317742925145
2018-01-01 09:00:00,5.0,2928.0,2.0,0.0,1204.0,0.0,0.0,0.0,0.0,61.0,0.0,351.86707684033166
2018-01-01 10:00:00,5.0,2945.0,2.0,0.0,1384.0,0.0,0.0,0.0,0.0,66.0,0.0,338.4327857685401
2018-01-01 11:00:00,5.0,2936.0,2.0,0.0,1454.0,0.0,0.0,0.0,0.0,69.0,0.0,333.0366822855679
2018-01-01 12:00:00,5.0,2945.0,2.0,0.0,1461.0,0.0,0.0,0.0,0.0,67.0,0.0,332.74851182987896
2018-01-01 13:00:00,5.0,2938.0,2.0,0.0,1412.0,0.0,0.0,0.0,0.0,66.0,0.0,336.08292176195204
2018-01-01 14:00:00,5.0,2945.0,2.0,0.0,1352.0,0.0,0.0,0.0,0.0,65.0,0.0,340.8285106221949
2018-01-01 15:00:00,5.0,2941.0,2.0,0.0,1404.0,0.0,0.0,0.0,0.0,65.0,0.0,336.7413454626148
2018-01-01 16:00:00,5.0,2928.0,2.0,0.0,1449.0,0.0,0.0,0.0,0.0,62.0,0.0,332.80156832526706
2018-01-01 17:00:00,5.0,2955.0,2.0,0.0,1544.0,0.0,0.0,0.0,0.0,62.0,0.0,326.91618274390044
2018-01-01 18:00:00,5.0,2949.0,2.0,0.0,1551.0,0.0,0.0,0.0,0.0,62.0,0.0,326.2090244635888
2018-01-01 19:00:00,5.0,2940.0,2.0,0.0,1554.0,0.0,0.0,0.0,0.0,63.0,0.0,325.7212144651361
2018-01-01 20:00:00,5.0,2950.0,2.0,0.0,1526.0,0.0,0.0,0.0,0.0,61.0,0.0,327.9651370443206
2018-01-01 21:00:00,5.0,2946.0,2.0,0.0,1411.0,0.0,0.0,0.0,0.0,63.0,0.0,336.2995330514753
2018-01-01 22:00:00,5.0,2937.0,2.0,0.0,1404.0,0.0,0.0,0.0,0.0,65.0,0.0,336.60242984554037
2018-01-01 23:00:00,5.0,2947.0,2.0,0.0,1416.0,0.0,0.0,0.0,0.0,66.0,0.0,336.0967725322619
2018-01-02 00:00:00,5.0,2946.0,2.0,0.0,1452.0,0.0,0.0,0.0,0.0,67.0,0.0,333.4430149816319
2018-01-02 01:00:00,5.0,2945.0,2.0,0.0,1383.0,0.0,0.0,0.0,0.0,68.0,0.0,338.59877198333004
2018-01-02 02:00:00,5.0,2953.0,2.0,0.0,1238.0,0.0,0.0,0.0,0.0,66.0,0.0,350.12948943553323
2018-01-02 03:00:00,5.0,2944.0,2.0,0.0,1060.0,0.0,0.0,0.0,0.0,63.0,0.0,364.75635808023594
2018-01-02 04:00:00,5.0,2950.0,2.0,0.0,969.0,0.0,0.0,0.0,0.0,62.0,0.0,373.1076661921106
2018-01-02 05:00:00,5.0,2949.0,2.0,0.0,919.0,0.0,0.0,0.0,0.0,64.0,0.0,377.8322601837079
2018-01-02 06:00:00,5.0,2905.0,2.0,0.0,1016.0,0.0,0.0,0.0,0.0,62.0,0.0,367.4547575875031
2018-01-02 07:00:00,5.0,2919.0,2.0,0.0,1107.0,0.0,0.0,0.0,0.0,63.0,0.0,359.86535957492214
2018-01-02 08:00:00,5.0,2909.0,2.0,0.0,1466.0,0.0,0.0,0.0,0.0,61.0,0.0,330.82957072459897
