MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind,CI_avg
2022-01-01 00:00:00,91.0,147.0,201.0,0.0,697.0,202.0,1964.0,53.0,0.0,247.0,2.0,163.17466470373685
2022-01-01 01:00:00,94.0,147.0,200.0,0.0,695.0,308.0,1959.0,53.0,1.0,249.0,2.0,193.42316907438726
2022-01-01 02:00:00,96.0,147.0,200.0,0.0,686.0,308.0,1960.0,52.0,0.0,246.0,2.0,194.22732490167365
2022-01-01 03:00:00,96.0,146.0,201.0,0.0,675.0,308.0,1957.0,52.0,0.0,246.0,2.0,194.80679070363496
2022-01-01 04:00:00,95.0,148.0,202.0,0.0,683.0,307.0,1953.0,52.0,0.0,247.0,2.0,194.15159218874157
2022-01-01 05:00:00,96.0,147.0,205.0,0.0,694.0,205.0,1952.0,52.0,0.0,247.0,2.0,166.07510668951878
2022-01-01 06:00:00,95.0,146.0,200.0,0.0,703.0,13.0,1954.0,52.0,0.0,245.0,2.0,108.70522455797868
2022-01-01 07:00:00,95.0,146.0,194.0,0.0,781.0,0.0,1956.0,53.0,1.0,240.0,1.0,102.20005255783849
2022-01-01 08:00:00,94.0,146.0,185.0,0.0,794.0,27.0,1960.0,53.0,22.0,234.0,1.0,112.93062235362483
2022-01-01 09:00:00,96.0,148.0,193.0,0.0,803.0,31.0,1953.0,53.0,68.0,242.0,1.0,122.7471601331066
2022-01-01 10:00:00,99.0,146.0,187.0,0.0,802.0,63.0,1954.0,53.0,107.0,241.0,1.0,138.95449716145808
2022-01-01 11:00:00,98.0,147.0,200.0,0.0,803.0,56.0,1949.0,53.0,87.0,246.0,1.0,133.69546627382067
2022-01-01 12:00:00,99.0,148.0,204.0,0.0,853.0,5.0,1947.0,52.0,60.0,246.0,1.0,113.46935483671017
2022-01-01 13:00:00,100.0,147.0,204.0,0.0,872.0,0.0,1946.0,52.0,31.0,246.0,1.0,106.96000784459773
2022-01-01 14:00:00,99.0,147.0,205.0,0.0,1003.0,0.0,1946.0,52.0,15.0,248.0,1.0,100.60506877725179
2022-01-01 15:00:00,98.0,149.0,203.0,0.0,1124.0,0.0,1945.0,52.0,3.0,246.0,1.0,95.49478336474935
2022-01-01 16:00:00,98.0,147.0,203.0,0.0,1229.0,0.0,1947.0,52.0,1.0,245.0,1.0,92.48159146467678
